RESULT_COUNT: 596,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME,ADJ_FACTOR
IND50.28,IND50.28:IT,BBG000P89647,2018-09-04,5.6979999999999995,5.706,5.678999999999999,5.694,24143.0,0.0,1.0,5.6979999999999995,5.706,5.678999999999999,5.694,24143.0,1.0
MZOR,MZOR:IT,BBG000R4ZFF3,2018-09-04,87.99,88.0,86.8,87.25,78170.0,0.0,1.0,87.99,88.0,86.8,87.25,78170.0,1.0
KSKND.46,KSKND.46:IT,BBG000RR4YG4,2018-09-04,25.52,25.4,25.12,25.21,2885.0,0.0,1.0,25.52,25.4,25.12,25.21,2885.0,1.0
TIGBUR,TIGBUR:IT,BBG000PPNC86,2018-09-04,11.31,11.26,11.25,11.25,6300.0,0.0,1.0,11.31,11.26,11.25,11.25,6300.0,1.0
HMAM,HMAM:IT,BBG000PPLLY9,2018-09-04,3.23,,,3.23,0.0,0.0,1.0,3.23,,,3.23,0.0,1.0
PS.DJAS3,PS.DJAS3:IT,BBG000RVBQQ3,2018-09-04,51.13,51.34,51.34,51.34,215.0,0.0,1.0,51.13,51.34,51.34,51.34,215.0,1.0
ORAD,ORAD:IT,BBG000NS20Q1,2018-09-04,1.381,,,1.381,0.0,0.0,1.0,1.381,,,1.381,0.0,1.0
MGOR,MGOR:IT,BBG000NTCXP7,2018-09-04,40.36,40.65,39.61,39.85,15275.0,0.0,1.0,40.36,40.65,39.61,39.85,15275.0,1.0
RVL,RVL:IT,BBG000KNTS94,2018-09-04,5.665,5.66,5.587999999999999,5.608,44526.0,0.0,1.0,5.665,5.66,5.587999999999999,5.608,44526.0,1.0
GOLD,GOLD:IT,BBG000BYXN41,2018-09-04,144.4,147.8,147.0,147.4,140.0,0.0,1.0,144.4,147.8,147.0,147.4,140.0,1.0
HRON,HRON:IT,BBG000BYYS85,2018-09-04,1499.0,1469.0,1469.0,1469.0,1.0,0.0,1.0,1499.0,1469.0,1469.0,1469.0,1.0,1.0
MNRV,MNRV:IT,BBG000BZ7S55,2018-09-04,397.1,398.8,394.8,398.1,433.0,0.0,1.0,397.1,398.8,394.8,398.1,433.0,1.0
MLTM,MLTM:IT,BBG000BZ8288,2018-09-04,390.9,390.8,375.0,381.4,720.0,0.0,1.0,390.9,390.8,375.0,381.4,720.0,1.0
ONE,ONE:IT,BBG000LL6MR5,2018-09-04,148.3,148.6,147.4,148.3,1461.0,0.0,1.0,148.3,148.6,147.4,148.3,1461.0,1.0
NTO,NTO:IT,BBG000FK4RV0,2018-09-04,289.8,295.0,284.0,286.9,2262.0,0.0,1.0,289.8,295.0,284.0,286.9,2262.0,1.0
FVT,FVT:IT,BBG000MPW5R3,2018-09-04,0.376,0.391,0.37,0.377,31300.0,0.0,1.0,0.376,0.391,0.37,0.377,31300.0,1.0
