RESULT_COUNT: 32548,PAGE_SIZE: 10000,CURRENT_PAGE: 2,TOTAL_PAGES: 4,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,COMPOSITE_FIGI,COMPOSITE_FIGI_TICKER,SECURITY_NAME,MARKET_SECTOR,SECURITY_TYPE,STOCK_EXCHANGE,LAST_CRSP_ADJ_DATE,CURRENCY
EVAL,EVAL:UW,BBG002MYG1P9,BBG002MYG1H8,EVAL:US,BTC iShares MSCI Emerging Markets Value ETF,,Exchange Traded Fund,NASDAQ,2014-06-25,USD
EVARF,,BBG0064N02Z8,BBG0064N02Z8,EVARF:US,Lombard Medical Inc.,Equity,Ordinary Shares,,,USD
EVBEF,,BBG000C3ST41,BBG000C3ST41,EVBEF:US,EVS Broadcast Equipment,Equity,Ordinary Shares,,,USD
EVBG,EVBG:UW,BBG00DM473T3,BBG0022FMPD5,EVBG:US,Everbridge Inc,Equity,Ordinary Shares,NASDAQ,,USD
EVBN,EVBN:UA,BBG000CB1FY9,BBG000CB1FM2,EVBN:US,Evans Bancorp Inc,Equity,Ordinary Shares,AMEX,2017-09-11,USD
EVBS,EVBS:UW,BBG000BV2P00,BBG000BV2F93,EVBS:US,"Eastern Virginia Bankshares, Inc.",Equity,Ordinary Shares,NASDAQ,2017-05-03,USD
EVC,EVC:UN,BBG000BTNWB5,BBG000BTNV54,EVC:US,Entravision Communications Corp.,Equity,Ordinary Shares - Class A,NYSE,2018-06-13,USD
EVCC,,BBG000HWVBN6,BBG000HWVBN6,EVCC:US,Environmental Control Corporation,Equity,Ordinary Shares,,,USD
EVDNF,,BBG000MS3JP1,BBG000MS3JP1,EVDNF:US,Evolve Digital Systems Inc,Equity,Ordinary Shares,,,USD
EVDY,EVDY:UN,BBG000Q7T5P5,BBG000Q7T423,EVDY:US,Everyday Health Inc,Equity,Ordinary Shares,NYSE,,USD
EVEP,EVEP:UW,BBG000LJV2H7,BBG000LJTN84,EVEP:US,EV Energy Partners LP,Equity,Unit,NASDAQ,2016-02-03,USD
EVER,EVER:UN,BBG001777SG8,BBG000C12ZK1,EVER:US,EverBank Financial Corp,Equity,Ordinary Shares,NYSE,2017-05-09,USD
EVER,EVER:UW,BBG00L2P7TT3,BBG00F17NDH7,EVER:US,EverQuote Inc,Equity,Ordinary Shares - Class A,NASDAQ,,USD
EVER4136020,,BBG0012G35M0,,EVER4136020:US,Nuveen Dividend Advantage Municipal Fund 2,Muni,FR PFS REDEEM 01/06/2040 USD - 144A,,,USD
EVER4136043,,BBG006MD4277,,EVER4136043:US,Nuveen California Quality Municipal Income Fund,Muni,FR PFS REDEEM 01/08/2040 USD - 144A,,,USD
EVER4136044,,BBG006MD1190,,EVER4136044:US,Nuveen California Quality Municipal Income Fund,Muni,FR PFS REDEEM 01/08/2040 USD,,,USD
EVER4136076,,BBG006MCQMR9,,EVER4136076:US,Nuveen California Quality Municipal Income Fund,Muni,FR PFS REDEEM 01/12/2040 USD - 144A,,,USD
EVER4151197,,BBG006MCQYX6,,EVER4151197:US,Nuveen California Quality Municipal Income Fund,Muni,FR PFS REDEEM 01/03/2040 USD - 144A,,,USD
EVER4429188,,BBG00F9YW685,,EVER4429188:US,Nuveen Floating Rate Income Opportunity Fund,Corp,SU PRF REDEEM 01/12/2023 USD 1000,,,USD
EVER4437940,,BBG00FJVRNR8,,EVER4437940:US,Nuveen Floating Rate Income Fund,Corp,4% PRF REDEEM 01/01/2027 USD 1000,,,USD
EVER4478983,,BBG00G5CJZY7,,EVER4478983:US,Nuveen Floating Rate Income Opportunity Fund,Corp,SU PRF REDEEM 01/04/2022 USD 1000,,,USD
EVERpA,EVERpA:UN,BBG003M2WD00,,EVERpA:US,EverBank Financial Corp,Pfd,6.75% PRF PERPETUAL USD 25 - Dep rp 1/1000 Ser A,NYSE,,USD
EVF,EVF:UN,BBG000CFGSD9,BBG000CFFPP3,EVF:US,Eaton Vance Senior Income Trust,Equity,Ordinary Shares,NYSE,2018-08-10,USD
EVFB,,BBG000QMDK21,BBG000QMDK21,EVFB:US,Environmental Fiber Technologies Inc,Equity,Ordinary Shares,,,USD
EVFM,EVFM:UW,BBG007BW54F1,BBG0026ZG450,EVFM:US,Evofem Biosciences Inc,Equity,Ordinary Shares,NASDAQ,2018-01-18,USD
EVFTC,EVFTC:UW,BBG00JCPT6N9,BBG00JCPT6H6,EVFTC:US,Eaton Vance Floating-Rate NextShares,Equity,Exchange Traded Fund,NASDAQ,2018-02-01,USD
EVG,EVG:UN,BBG000C6VZP3,BBG000C6VX96,EVG:US,Eaton Vance Short Duration Diversified Income Fund,Equity,Ordinary Shares,NYSE,2018-08-23,USD
EVGBC,EVGBC:UW,BBG00CL9QYP0,BBG00CL9QYG0,EVGBC:US,Eaton Vance Global Income Builder NextShares,Equity,Exchange Traded Fund,NASDAQ,2018-08-01,USD
EVGEF,,BBG000K4VDJ5,,EVGEF:US,Evergreen Gaming Corporation,Equity,Ordinary Shares,,,USD
EVGN,EVGN:UW,BBG000TGYLD4,BBG000TGYG90,EVGN:US,Evogene Ltd,Equity,Ordinary Shares,NASDAQ,2013-11-19,USD
EVGQF,,BBG000BDC3S8,BBG000BDC3B6,EVGQF:US,Evergreen Marine,Equity,,,,TWD
EVGZF,,BBG000BL2SN1,BBG000BL2S97,EVGZF:US,Evergreen Marine,Equity,GDR - Reg S,,,USD
EVH,EVH:UN,BBG008MX5S35,BBG005CHLM96,EVH:US,Evolent Health Inc,Equity,Ordinary Shares - Class A,NYSE,,USD
EVHC,EVHC:UN,BBG004PMH2W7,BBG003FHPBQ9,EVHC:US,Envision Healthcare Holdings Inc,Equity,Ordinary Shares,NYSE,,USD
EVHC,EVHC:UN,BBG00D3CV4L5,BBG00D3CHRC0,EVHC:US,Envision Healthcare Corp,Equity,Ordinary Shares,NYSE,2016-12-02,USD
EVHCp,EVHCp:UN,BBG00FGJCC43,,EVHCp:US,Envision Healthcare Corp,Pfd,5.25% PRF CONVERT 01/07/2017 USD 100 - Ser A1,NYSE,2015-03-11,USD
EVI,EVI:UA,BBG000H3TV77,BBG000H3TTM5,EVI:US,EnviroStar Inc,Equity,Ordinary Shares,AMEX,2017-12-22,USD
EVIO,,BBG000BDWWY5,BBG000BDWWY5,EVIO:US,EVIO Inc,Equity,Ordinary Shares,,,USD
EVIPF,,BBG003SB2RX0,BBG003SB2RX0,EVIPF:US,Envipco Hldgs NV,Equity,Ordinary Shares,,,USD
EVIX,EVIX:UF,BBG00GM1P7W9,BBG00GM1P7B2,EVIX:US,UBS AG London Branch,Equity,ZC SP ETN REDEEM 03/05/2047 USD 25 - Long Securities,BATS,,USD
EVJ,EVJ:UA,BBG000CQR785,BBG000CQR6P8,EVJ:US,Eaton Vance New Jersey Municipal Income Trust,Equity,Ordinary Shares,AMEX,2018-08-10,USD
