RESULT_COUNT: 9957,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
A,A:UN,BBG000C2V541,2018-03-19,69.79,70.31,69.06,69.34,2501900.0,0.0,1.0,69.79,70.31,69.06,69.34,2501900.0
AA,AA:UN,BBG00B3T3HK5,2018-03-19,47.03,47.68,45.76,46.36,2498132.0,0.0,1.0,47.03,47.68,45.76,46.36,2498132.0
AAC,AAC:UN,BBG006T1NZ63,2018-03-19,12.92,12.96,11.76,12.34,255624.0,0.0,1.0,12.92,12.96,11.76,12.34,255624.0
AADR,AADR:UN,BBG000BDYVZ4,2018-03-19,60.51,60.8025,59.7201,60.27,36974.0,0.0,1.0,60.51,60.8025,59.7201,60.27,36974.0
AAL,AAL:UW,BBG005P7Q8V5,2018-03-19,55.33,55.69,54.19,54.62,3743641.0,0.0,1.0,55.33,55.69,54.19,54.62,3743641.0
AAMC,AAMC:UN,BBG003Q1GJL0,2018-03-19,61.05,61.15,61.0,61.05,1084.0,0.0,1.0,61.05,61.15,61.0,61.05,1084.0
AAME,AAME:UW,BBG000B9XDQ4,2018-03-19,3.2,3.25,3.15,3.25,2962.0,0.0,1.0,3.2,3.25,3.15,3.25,2962.0
AAN,AAN:UN,BBG000D9VBX0,2018-03-19,48.18,48.31,47.06,47.34,568135.0,0.0,1.0,48.18,48.31,47.06,47.34,568135.0
AAOI,AAOI:UW,BBG00564XQN4,2018-03-19,26.79,26.88,25.8,26.22,1264304.0,0.0,1.0,26.79,26.88,25.8,26.22,1264304.0
AAON,AAON:UW,BBG000C2M952,2018-03-19,39.0,39.3,38.65,39.05,300498.0,0.0,1.0,39.0,39.3,38.65,39.05,300498.0
AAP,AAP:UN,BBG000F7RFH6,2018-03-19,116.79,117.56,114.7,115.87,812001.0,0.0,1.0,116.79,117.56,114.7,115.87,812001.0
AAPL,AAPL:UW,BBG000B9Y5X2,2018-03-19,177.32,177.47,173.66,175.3,32804695.0,0.0,1.0,177.32,177.47,173.66,175.3,32804695.0
AAT,AAT:UN,BBG00161BCW4,2018-03-19,33.23,33.26,32.87,33.21,285997.0,0.0,1.0,33.23,33.26,32.87,33.21,285997.0
AAU,AAU:UN,BBG000DGFTB7,2018-03-19,0.85,0.85,0.81,0.8252,199367.0,0.0,1.0,0.85,0.85,0.81,0.8252,199367.0
AAV,AAV:UN,BBG000C5R1K0,2018-03-19,2.95,2.95,2.75,2.8,294054.0,0.0,1.0,2.95,2.95,2.75,2.8,294054.0
AAWW,AAWW:UW,BBG000Q58769,2018-03-19,64.05,64.35,62.7,63.65,195354.0,0.0,1.0,64.05,64.35,62.7,63.65,195354.0
AAXJ,AAXJ:UW,BBG000G6J356,2018-03-19,79.0,79.12,78.18,78.62,269219.0,0.0,1.0,79.0,79.12,78.18,78.62,269219.0
AB,AB:UN,BBG000B9WPQ8,2018-03-19,26.6,26.695,26.1,26.55,277039.0,0.0,1.0,26.6,26.695,26.1,26.55,277039.0
ABAC,ABAC:UW,BBG000BDZNX3,2018-03-19,2.27,2.44,2.27,2.44,3468.0,0.0,1.0,2.27,2.44,2.27,2.44,3468.0
ABAX,ABAX:UW,BBG000CP68R7,2018-03-19,74.81,74.81,72.27,73.06,167438.0,0.0,1.0,74.81,74.81,72.27,73.06,167438.0
ABB,ABB:UN,BBG000DK5SY6,2018-03-19,24.11,24.11,23.78,23.96,1300497.0,0.0,1.0,24.11,24.11,23.78,23.96,1300497.0
ABBV,ABBV:UN,BBG003P7K0B5,2018-03-19,113.74,114.98,110.44,112.03,7783848.0,0.0,1.0,113.74,114.98,110.44,112.03,7783848.0
ABC,ABC:UN,BBG000MDCSN6,2018-03-19,96.34,96.34,92.82,93.0,1121037.0,0.0,1.0,96.34,96.34,92.82,93.0,1121037.0
ABCB,ABCB:UW,BBG000CDYGZ6,2018-03-19,56.2,56.75,55.55,56.6,315886.0,0.0,1.0,56.2,56.75,55.55,56.6,315886.0
ABCD,ABCD:UW,BBG000Q05ST2,2018-03-19,10.19,10.68,9.5551,10.16,416454.0,0.0,1.0,10.19,10.68,9.5551,10.16,416454.0
ABDC,ABDC:UW,BBG0064VDPM9,2018-03-19,6.25,6.34,6.1,6.12,108768.0,0.0,1.0,6.25,6.34,6.1,6.12,108768.0
ABEO,ABEO:UW,BBG000DT5MQ9,2018-03-19,14.95,15.475,13.7,13.975,1179370.0,0.0,1.0,14.95,15.475,13.7,13.975,1179370.0
ABEOW,ABEOW:UW,,2018-03-19,10.8,10.8,9.162,9.162,2769.0,0.0,1.0,10.8,10.8,9.162,9.162,2769.0
