RESULT_COUNT: 7694,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME,ADJ_FACTOR
A,A:UN,BBG000C2V541,2018-09-04,67.34,67.56,66.85,67.27,1667082.0,0.0,1.0,67.34,67.56,66.85,67.27,1667082.0,1
AA,AA:UN,BBG00B3T3HK5,2018-09-04,43.88,43.919,43.1,43.36,2013505.0,0.0,1.0,43.88,43.919,43.1,43.36,2013505.0,1
AAC,AAC:UN,BBG006T1NZ63,2018-09-04,8.75,8.75,8.43,8.5,185171.0,0.0,1.0,8.75,8.75,8.43,8.5,185171.0,1
AADR,AADR:UP,BBG000BDYVZ4,2018-09-04,51.85,51.85,51.3287,51.59,72602.0,0.0,1.0,51.85,51.85,51.3287,51.59,72602.0,1
AAL,AAL:UW,BBG005P7Q8V5,2018-09-04,40.32,41.34,40.32,40.77,7088370.0,0.0,1.0,40.32,41.34,40.32,40.77,7088370.0,1
AAMC,AAMC:UA,BBG003Q1GJL0,2018-09-04,62.05,62.05,62.05,62.05,3.0,0.0,1.0,62.05,62.05,62.05,62.05,3.0,1
AAME,AAME:UW,BBG000B9XDQ4,2018-09-04,3.2,3.2,2.655,2.8515,9150.0,0.0,1.0,3.2,3.2,2.655,2.8515,9150.0,1
AAN,AAN:UN,BBG000D9VBX0,2018-09-04,49.7,51.19,49.17,50.8,466247.0,0.0,1.0,49.7,51.19,49.17,50.8,466247.0,1
AAOI,AAOI:UW,BBG00564XQN4,2018-09-04,41.27,41.27,36.05,36.72,3080168.0,0.0,1.0,41.27,41.27,36.05,36.72,3080168.0,1
AAON,AAON:UW,BBG000C2M952,2018-09-04,40.2,40.35,39.15,39.85,224424.0,0.0,1.0,40.2,40.35,39.15,39.85,224424.0,1
AAP,AAP:UN,BBG000F7RFH6,2018-09-04,164.51,169.59,164.2,169.48,1370978.0,0.0,1.0,164.51,169.59,164.2,169.48,1370978.0,1
AAPL,AAPL:UW,BBG000B9Y5X2,2018-09-04,228.41,229.18,226.63,228.36,27390132.0,0.0,1.0,228.41,229.18,226.63,228.36,27390132.0,1.0
AAT,AAT:UN,BBG00161BCW4,2018-09-04,39.34,39.5,38.62,38.83,164156.0,0.0,1.0,39.34,39.5,38.62,38.83,164156.0,1
AAU,AAU:UA,BBG000DGFTB7,2018-09-04,0.645,0.645,0.6244,0.63,50721.0,0.0,1.0,0.645,0.645,0.6244,0.63,50721.0,1
AAV,AAV:UN,BBG000C5R1K0,2018-09-04,2.9,2.9158,2.66,2.7,395659.0,0.0,1.0,2.9,2.9158,2.66,2.7,395659.0,1
AAWW,AAWW:UW,BBG000Q58769,2018-09-04,61.15,62.5,60.25,61.25,205667.0,0.0,1.0,61.15,62.5,60.25,61.25,205667.0,1
