RESULT_COUNT: 144,API_CALL_CREDITS: 144
IDENTIFIER,TICKER,BUSINESS_ADDRESS,BUSINESS_PHONE_NO,COMPANY_URL,CEO,COUNTRY,STATE,INDUSTRY_CATEGORY,SECTOR,BETA,LONG_DESCRIPTION,CIK
BSD,BSD,nm,nm,http://www2.blackrock.com,N/A,nm,nm,Financial Services,Financial,-0.034,"BlackRock Strategic Municipal Trust is a closed-ended fixed income mutual fund launched by BlackRock, Inc. It is managed by BlackRock Advisors, LLC. The fund invests in the fixed income markets of the United States. It primarily invests in investment grade quality municipal bonds that are exempt from federal income taxes. The fund seeks to invest in bonds with long-term maturities in order to maintain a weighted average maturity of 15 years or more. BlackRock Strategic Municipal Trust was formed on August 24, 1999 and is domiciled in the United States.",nm
BSE,BSE,nm,nm,N/A,N/A,nm,nm,Financial Services,Financial,-0.1113,"BlackRock New York Municipal Income Quality Trust is a close ended fixed income mutual fund launched by BlackRock, Inc. The fund is managed by BlackRock Advisors, LLC. It invests in the fixed income markets of United States. The fund primarily invests in investment grade municipal obligations exempt from federal income taxes and New York State and New York City personal income taxes. It was formerly known as BlackRock New York Insured Municipal Income Trust. BlackRock New York Municipal Income Quality Trust was formed in October 28, 2002 and is domiciled in United States.",nm
BSET,BSET,"PO BOX 626, BASSETT, VA 24055",5406296209,www.bassettfurniture.com,Robert H. Spilman,United States of America,Virginia,Consumer Durables,Consumer Goods,0.56,"Bassett Furniture Industries, Incorporated manufactures, markets, and retails home furnishings in the United States. The company operates in three segments: Wholesale, Retail, and Logistical Services. It is involved in the design, manufacture, sourcing, sale, and distribution of furniture products to a network of company-owned and licensee-owned Bassett Home Furnishings (BHF) retail stores, as well as independent furniture retailers; and wood and upholstery operations. As of March 10, 2017, the company operated a network of 90 stores, including 59 company-owned and 31 licensee-owned stores. It also provides shipping, delivery, and warehousing services to customers in the furniture industry. In addition, the company owns and leases retail store properties. It also distributes its products through other multi-line furniture stores, Bassett galleries or design centers, specialty stores, and mass merchants. Bassett Furniture Industries was founded in 1902 and is based in Bassett, Virginia.",0000010329
BSF,BSF,"900 SOUTH SHACKLEFORD ROAD, SUITE 401, LITTLE ROCK, AR 72211",501-320-4904,www.bearstatebank.com,Matthew J. Machen,United States of America,Arkansas,Banking,Financial,0.8707,"Bear State Financial, Inc. operates as the bank holding company for Bear State Bank, N.A. that provides various financial products to individuals and business customers. The company offers a range of retail and business deposit accounts, including noninterest and interest bearing checking, savings and money market, and individual retirement accounts, as well as certificates of deposit. It also provides loans comprising one-to four-family residential real estate, multifamily residential real estate, nonfarm nonresidential, farmland, construction and land development, and commercial real estate and commercial business loans; and consumer loans, such as automobile, deposit account secured, and unsecured loans, as well as lines of credit. In addition, the company offers other financial services, such as automated teller machine services; telephone banking services; online banking services, including account access, bill payment, and e-statement services; mobile banking comprising remote deposit capture and funds transfer services; overdraft services; debit cards; and safe deposit boxes. As of December 31, 2016, it operated 48 banking locations and 3 loan production offices in Arkansas, Missouri, and Southeast Oklahoma. The company was founded in 1934 and is headquartered in Little Rock, Arkansas.",0001006424
BSFT,BSFT,"9737 WASHINGTONIAN BOULEVARD, SUITE 350, GAITHERSBURG, MD 20878",301-977-9440,www.broadsoft.com,Michael Tessler,United States of America,Maryland,Computer Software & Services,Technology,0.6783,"BroadSoft, Inc. provides software and services that enable telecommunications service providers to deliver hosted cloud-based unified communications (UC) to their enterprise customers in North America, Europe, the Middle East, and Africa. Its products include UC-One, a cloud communication and collaboration solution that offers integrated business, such as phone services, messaging and presence, audio and video conferencing, screen sharing, file sharing, and virtual meeting rooms. The company also provides Team-One, a collaboration solution that allows users to chat, track notes, share files, and organize projects into shareable workspaces; and CC-One, a contact center solution that enables enterprises to have omni-channel interactions over Web, email, chat, and social media with customers, as well as provides integrated collaboration between call center agents and the back office through voice, chat, and video. It offers its enterprise and consumer communications services through BroadWorks application server software and BroadCloud software-as-a-service platform. In addition, the company provides a range of professional support services, such as pre-sales support; installation, network integration, project management, and remote upgrade services, as well as consulting services; product life-cycle services; and training services. It markets and sells its products directly, as well as through distribution partners comprising telecommunications equipment vendors, value-added resellers, and other distributors. BroadSoft, Inc. was founded in 1998 and is headquartered in Gaithersburg, Maryland.",0001086909
BSI,BSI,nm,97299618504,http://www.bsi.co.il,Yaniv Israel,nm,nm,nm,nm,0.7857,"Alon Blue Square Israel Ltd. operates as a retail company in Israel. Its Fueling and Commercial Sites segment develops, constructs, and operates vehicle fueling stations, adjacent commercial centers, and independent convenience stores; markets fuel and other products through filling stations and convenience stores; and directly markets distillates to customers. As of December 31, 2014, this segment operated 209 fueling stations; and 215 convenience stores under the Alonit and Super Alonit, and AM:PM names. The companys Supermarkets segment offers various food and beverage products; non-food items, such as house wares, toys, small electrical appliances, computers and computer accessories, entertainment and leisure products, and textile products; and near-food products comprising health and beauty aids, products for infants, cosmetics, and hygiene products. This segment operates 197 supermarkets under the You, ZolBeShefa, You Neighborhood Store, Mega, Mega in Town, and Eden Teva brands. Its Houseware and Textile segment operates as a retailer and wholesaler in houseware and textile activities. This segment operates 112 stores under the Naaman and Vardinon barnds. The companys Real Estate segment owns, leases, and develops commercial centers, logistics centers and offices, and land, as well as develops wholesale market residency projects in Tel-Aviv. Alon Blue Square Israel Ltd. is also involved in the cellular mobile virtual network operator activities, as well as issuance and clearance of credit card activities. The company was formerly known as Alon Holdings Blue Square  Israel Ltd. and changed its name to Alon Blue Square Israel Ltd. in April 2013. The company was founded in 1988 and is based in Yakum, Israel. Alon Blue Square Israel Ltd. operates as a subsidiary of Alon Israel Oil Company Ltd.",0001016837
BSMX,BSMX,"Banco santander S.A. -, NY Branch, 45 E, 53rd Street, New York, NY 10022",52-55-5257-8000,www.santander.com.mx,Hector Blas Grisi Checa,United States of America,New York,Banking,Financial,1.2071,"Grupo Financiero Santander Mexico, S.A.B. de C.V., through its subsidiaries, provides a range of financial services to individuals, private banking clients, small and medium-sized enterprises, government institutions, and corporate and institutional customers primarily in Mexico. It operates through Retail Banking and Global Corporate Banking segments. The company offers various deposit products, such as current accounts, savings accounts, and time deposits, as well as certificates of interbank deposit; and payroll loans, personal loans, credit cards, mortgages, and insurance brokerage services. It is also involved in corporate lending activities, such as corporate and working capital financing; and foreign trade financing, as well as the provision of cash management, securities brokerage, and Internet and mobile banking services. In addition, the company offers origination and distribution units for structured credit and debt products, debt capital markets, project finance, and asset and capital structuring; and equity custodial and related services, which include equity derivatives, exchange-traded derivatives, cash equities, and equity research; and treasury trading services. As of December 31, 2015, it had 1,354 offices and 5,989 ATMs in Mexico. The company was formerly known as Grupo Financiero Santander, S.A.B. de C.V. and changed its name to Grupo Financiero Santander Mexico, S.A.B. de C.V. in August 2012. The company was founded in 1991 and is headquartered in Mexico City, Mexico. Grupo Financiero Santander Mexico, S.A.B. de C.V. (BMV:SANMEX B) operates as a subsidiary of Banco Santander, S.A.",0001551975
BSP,BSP,"800 NICOLLET MALL, BC- MN-H04N, MINNEAPOLIS, MN 55402",612-303-7987,nm,nm,United States of America,Minnesota,nm,nm,na,N/A,0000886984
BSPM,BSPM,"NO. 588 SHIJI XI AVENUE, XIANYANG, SHAANXI PROVINCE, CHINA 712046",011-86-29-33686638,www.biostarpharmaceuticals.com,Rong Hua Wang,China,nm,Drugs,Healthcare,0.6074,"Biostar Pharmaceuticals, Inc. develops, manufactures, and markets over-the-counter (OTC) and prescription pharmaceutical products for various diseases and conditions in the People's Republic of China. The company principally offers Xin Ao Xing Oleanolic Acid capsule, an OTC medicine for chronic hepatitis B. Its product line also includes 12 other OTC products and 17 prescription-based pharmaceuticals. The company's OTC products also comprise Ganwang compound paracetamol and amantadine hydrochloride capsule for the relief of common cold, runny nose, sore throat, headache, and fever; Tianqi Dysmenorrhea capsule, a traditional Chinese medicine used for pain and other symptoms associated with menstruation; Deafness Tongqiao pills for hepatobiliary Huosheng, head swelling, deafness and tinnitus, ear pus, dry stool, and urine-yellow; Wenweishu capsules for the treatment of chronic gastritis and pain of epigastric cold; Zhitongtougu ointment for treating joint pain, swelling, tenderness, or dysfunction; and Chuzhang Zehaifu tablets for cataract. Its prescription pharmaceutical products include Danshen granules; Taohuasan pediatric medicines; Jingang tablets; Danxiang Rhinitis tablets; Yanlixiao capsules; Piracetam tablets; Huangyangning tablets; Hyperthyroidism capsules; Fosfomycin Calcium capsules; Qianlietong capsules; Yituo Erythromycin particles; Danshen tablets; Hernia belt; Tangning capsule; Yizi capsule; Shengjing Capsule; Aoxing Ointment; Muxiang Shunqi pills; Sifangwei capsules; and Aspirin Enteric-coated tablets. The company also operates a Website that serves as Internet-based China Hepatitis Internet hospital, which offers HBV patients with information on HBV and treatment options, as well as methods to purchase HBV medicines. Biostar Pharmaceuticals, Inc. sells its products through distributors and a network of sales people in approximately 28 provinces. The company was incorporated in 2007 and is headquartered in Xianyang, the People's Republic of China.",0001418133
BSQR,BSQR,"110  110TH AVENUE NE, SUITE 300, BELLEVUE, WA 98004",4255195900,www.bsquare.com,Jerry D. Chase,United States of America,Washington,Computer Software & Services,Technology,1.7438,"BSQUARE Corporation provides software solutions and related engineering services to businesses that develop, market, and sell standalone intelligent systems in North America, Asia, and Europe. Its software products include HTML5 rendering engine that is based on the open-source WebKit platform and facilitates device makers to create applications and user interfaces for their devices; and TestQuest 10, a software testing automation tool. The company also offers DataV software Services, such as integration with enterprise databases; integration with internal enterprise systems; integration with external public or third-party data sources; custom application development; management of customer cloud instances hosting DataV software; training; and software integration on remote devices. In addition, it provides engineering services, such as architectural and system design; software design and development; platform development systems integration; application, middleware, and multimedia software development; quality assurance and testing; device solution strategy consulting; technical support; implementation; and test automation engineering and consulting services. The company markets and sells its products to original equipment manufacturers, original design manufacturers, and corporate enterprises, as well as silicon vendors and peripheral vendors. BSQUARE Corporation was founded in 1994 and is headquartered in Bellevue, Washington.",0001054721
