Symbol	Name	Sector	Industry	PE	EPS	DivYield	Shares	DPS	PEG	PtS	PtB
AADR	Advisorshares Dorsey Wright ADR			0	0	0	0	0	0	0	0
AAMC	Altisource Asset			0	-3.78	0	1572026	0	0	6.98	0
AAU	Almaden Minerals	Basic Industries	Precious Metals	0	-0.037	0	100009900	0	0	0	1.9849
ABE	Aberdeen EM Smaller Company Fund			0	1.25	0	0	0	0	0	0
ACIM	ACWI IMI MSCI ETF SPDR			0	0	0	0	0	0	0	0
ACSI	American Customer Satisfaction Core Alpha ETF			0	0	0	0	0	0	0	0
ACU	Acme United Corp	Capital Goods	Industrial Machinery/Components	15.293	1.51	1.97	3371152	0.44	1.51	0.603	1.527
ACWF	Ishares Global Multifactor ETF			0	0	0	0	0	0	0	0
ACWV	All Country World Min Vol MSCI Ishares			0	0	0	0	0	0	0	0
ACY	Aerocentury Corp	Technology	Diversified Commercial Services	12.84	0.97	0	1416064	0	0	0.6	0.44
ADZ	DB Agriculture -1X ETN Powershares			0	0	0	0	0	0	0	0
AE	Adams Resources & Energy	Energy	Oil Refining/Marketing	0	-0.82	2.13	4217062	0.88	0	0.15	1.17
AFK	Africa Index ETF Vaneck			0	0	0	0	0	0	0	0
AFTY	CSOP FTSE China A50 ETF			0	0	0	0	0	0	0	0
AGA	DB Agriculture -2X ETN Powershares			0	0	0	0	0	0	0	0
AGF	DB Agriculture ETN Powershares			0	0	0	0	0	0	0	0
AGG	Aggregate Bond Ishares	Finance	Closed-End Fund - Equity	0	0.97	0	0	0	0	0	0
AGGE	IQ Enhanced Core Bond U.S. ETF			0	0	0	0	0	0	0	0
AGGP	IQ Enhanced Core Plus Bond U.S.			0	0	0	0	0	0	0	0
AGGY	Wisdomtree Yield Enhcd US Agg Bond Fund			0	0	0	0	0	0	0	0
AGQ	Ultra Silver Proshares			0	0	0	0	0	0	0	0
AGT	Argentina Index MSCI Ishares	Basic Materials	Gold	0	-0.1	0	0	0	0	0	0
AGZ	Agency Bond Ishares			0	0	0	0	0	0	0	0
AIEQ	Ai Powered Equity ETF			0	0	0	0	0	0	0	0
AINC	Ashford Inc			0	-5.69	0	2021037	0	0	1.97	4.16
AIRI	Air Industries Group Inc			0	-2.34	0	14251800	0	0	0.29	0.42
AKG	Asanko Gold Inc			18.1491	0.053	0	203451500	0	0	0.7531	0.4511
ALD	Asia Local Debt ETF Wisdomtree			0	-2.91	0	0	0	0	0	0
ALFA	Alphaclone Alternative Alpha ETF			0	0	0	0	0	0	0	0
ALFI	Alphaclone International ETF			0	0	0	0	0	0	0	0
ALN	American Lorain Corp	Consumer Non-Durables	Packaged Foods	0	0	0	38281250	0	0	0.06	0.06
ALO	Alio Gold Corp			3.09	1.32	0	43674880	0	0	1.39	0.9
ALTS	Mstar Alternative Solutions Proshares			0	0	0	0	0	0	0	0
AMJ	Alerian MLP Index ETN JP Morgan			0	0	0	0	0	0	0	0
AMJL	X-Links Mthy Pay 2X Leveraged Alerian MLP			0	0	0	0	0	0	0	0
AMLP	Alps Alerian MLP ETF			0	0	0	0	0	0	0	0
AMLX	Oil Hedged MLP Income ETF			0	0	0	0	0	0	0	0
AMPE	Ampio Pharmaceutical			0	-0.21	0	68233650	0	0	0	19.82
AMS	American Shared Hospital Services	Health Care	Medical Specialities	14.42	0.21	0	5710000	0	0	0.89	0.8
AMU	Etracs Alerian MLP Index ETN			0	0	0	0	0	0	0	0
AMUB	Etracs Alerian MLP ETN Series B			0	0	0	0	0	0	0	0
AMZA	Infracap MLP ETF			0	0	0	0	0	0	0	0
ANGL	Fallen Angel HY Bond ETF Vaneck			0	-0.04	0	0	0	0	0	0
AOA	S&P Aggressive Allocation Ishares			0	0	0	0	0	0	0	0
AOK	S&P Conservative Allocation Ishares			0	0	0	0	0	0	0	0
AOM	S&P Moderate Allocation Ishares			0	0	0	0	0	0	0	0
AOR	S&P Growth Allocation Ishares			0	0	0	0	0	0	0	0
APHB	Ampliphi Biosciences Corp			0	-10.05	0	8747748	0	0	91.54	0.98
APT	Alpha Pro Tech	Health Care	Industrial Specialties	20.15	0.21	0	15106020	0	0	1.42	1.88
ARCM	Arrow Reserve Capital Management ETF			0	0	0	0	0	0	0	0
ARGT	G-X FTSE Argentina 20 ETF			0	0	0	0	0	0	0	0
ARKG	Ark Genomic Revolution Multi-Sector ETF			0	0	0	0	0	0	0	0
ARKK	Ark Innovation ETF			0	0	0	0	0	0	0	0
ARKQ	Ark Industrial Innovation ETF			0	0	0	0	0	0	0	0
ARKW	Ark Web X.0 ETF			0	0	0	0	0	0	0	0
ARN.P	Arconic Inc Pf 3.75			0	0	0	0	0	0	0	0
ASB.W	Associated Banc-Corp WT			0	0	0	0	0	0	0	0
ASEA	G-X FTSE Asean 40 ETF			0	0	0	0	0	0	0	0
ASHR	Db-Xt Harvest CSI 300 China A			0	0	0	0	0	0	0	0
ASHS	Db-Xt Harvest CSI 500 China A			0	0	0	0	0	0	0	0
ASHX	Db-Xt CSI 300 China A Hgd Eq			0	0	0	0	0	0	0	0
ASM	Avino Silver & Gold			17.6	0.08	0	52454540	0	0	1.92	1.05
AST	Asterias Biotherapeutics Inc			0	-0.75	0	49976470	0	0	20.3	3.37
ATMP	Barclays Plus Select MLP ETN			0	-0.5	0	0	0	0	0	0
ATNM	Actinium Pharmaceuticals Inc			0	-0.52	0	80014930	0	0	0	4.3
AUG	Auryn Resources Inc			0	-0.039	0	77027700	0	0	0	0
AUMN	Golden Minerals Co	Basic Industries	Precious Metals	0	-0.019	0	91831330	0	0	5.348	4.483
AUSE	Australia Dividend Wisdomtree			0	0	0	0	0	0	0	0
AWX	Avalon Holdings Corp	Public Utilities	Environmental Services	0	-0.1	0	3805128	0	0	0.12	0.2
AXJL	Asia Pacific Ex-Japan Wisdomtree			0	0	0	0	0	0	0	0
AXJV	Asia Ex Japan Mini Ishares ETF			0	0	0	0	0	0	0	0
AXU	Alexco Resource Corp	Basic Industries	Precious Metals	0	-0.05	0	101163800	0	0	13.43	1.37
AYT	GEMS Asia 8 ETN Ipath			0	0	0	0	0	0	0	0
BAB	Build America Bond Powershares			0	2.07	0	0	0	0	0	0
BAL	DJ-UBS Cotton TR Sub-Idx ETN Ipath			0	0	0	0	0	0	0	0
BAR	Graniteshares Gold Trust Shares of Beneficial In			0	0	0	39975	0	0	0	0
BBC	Bioshares Biotech Clinical Trial			0	0	0	0	0	0	0	0
BBP	Bioshares Biotech Products			0	0	0	0	0	0	0	0
BBRC	Columbia Beyond Brics ETF			0	0	0	0	0	0	0	0
BCD	All Commodity Longer Dated Strategy ETF			0	0	0	0	0	0	0	0
BCI	All Commodity Strategy K-1 Free ETF			0	0	0	0	0	0	0	0
BCM	Broad Commodity Pure Beta ETN Ipath			0	0	0	0	0	0	0	0
BCV	Bancroft Convertible Fund	Finance	Closed-End Fund - Debt	0	0.88	4.6	0	1	0	0	0
BCV-A	Bancroft Fund Ltd			0	0	0	0	0	0	0	0
BDCL	Wells Fargo 2X Bus Dv Cm ETN UBS E-Tracs			0	0	0	0	0	0	0	0
BDCS	Wells Fargo Bus Dev Comp ETN			0	0	0	0	0	0	0	0
BDCZ	Etracs Wells Fargo Business Dev ETN			0	0	0	0	0	0	0	0
BDD	DB Base Metals 2X ETN Powershares			0	0	0	0	0	0	0	0
BDL	Flanigan's Enterprises	Consumer Services	Restaurants	13.52	1.59	0.91	1857809	0.2	0	0.39	1.29
BDR	Blonder Tongue Laboratories	Technology	Radio And Television Broadcasting And Communications Equipment	0	-0.18	0	8121951	0	0	0.14	0.49
BEF	Energy Commodity Longer Dated Strategy ETF			0	0	0	0	0	0	0	0
BEMO	Aptus Behavioral Momentum ETF			0	0	0	0	0	0	0	0
BERN	Bernstein U.S. Research Fund			0	0	0	0	0	0	0	0
BFOR	Barron's 400			0	0	0	0	0	0	0	0
BFY	Blackrock New York Muni Trust II	Finance	Closed-End Fund - Debt	0	0.04	4.96	0	0.73	0	0	0
BGI	Birks Group Inc			7.81	0.27	0	17962090	0	0	0.12	2.78
BGSF	Bg Staffing			19.47	0.92	5.56	8758755	1	0.88	0.61	3.83
BHB	Bar Harbor Bankshares	Finance	Major Banks	22.67	1.4	2.36	15420090	0.75	0	5.8	1.4
BHV	Blackrock Virginia Muni Trust	Finance	Closed-End Fund - Debt	0	0.194	4.12	0	0.76	0	0	0
BIBL	Inspire 100 ETF			0	0	0	0	0	0	0	0
BIL	1-3 Month T-Bill Barclays Capital SPDR			0	0	0	0	0	0	0	0
BIV	Interm Term Bond ETF Vanguard			0	0	0	0	0	0	0	0
BIZD	Bdc Income Vaneck ETF			0	0	0	0	0	0	0	0
BJJN	Nickel Subindex Total Return ETN			0	0	0	0	0	0	0	0
BJK	Gaming ETF Vaneck			0	0	0	0	0	0	0	0
BJO	Coffee Subindex TR ETF Ipatha Series B Bloomberg			0	0	0	0	0	0	0	0
BKF	BRIC Index MSCI Ishares			0	0	0	0	0	0	0	0
BKJ	Bancorp of New Jersey Inc	Finance	Major Banks	29.54	0.61	0	6707263	0	0	5.04	1.5
BKLN	Senior Loan Portfolio Powershares			0	0	0	0	0	0	0	0
BLE	Blackrock Muni Income Trust II	Finance	Closed-End Fund - Debt	0	0.22	5.78	0	0.88	0	0	0
BLES	Inspire Global Hope Large Cap ETF			0	0	0	0	0	0	0	0
BLHY	Virtus Dynamic Credit ETF			0	0	0	0	0	0	0	0
