Symbol	Name	Sector	Industry	PE	EPS	DivYield	Shares	DPS	PEG	PtS	PtB
A	Agilent Technologies	Capital Goods	Electrical Products	35.05	1.94	0.78	321759600	0.53	2.73	4.96	4.73
AA	Alcoa Corp	Capital Goods	Metal Fabrications	54.51	0.88	1.25	184303900	0.36	-0.28	0.87	1.52
AAC	Aac Holdings Inc			0	-0.2	0	24059580	0	0.82	0.75	1.2
AAN	Aaron's Inc	Technology	Diversified Commercial Services	20.11	1.95	0.26	70771580	0.11	1.38	0.93	1.94
AAP	Advance Auto Parts Inc	Consumer Services	Other Specialty Stores	16.36	5.01	0.28	73843520	0.24	1.52	0.67	2.02
AAT	American Assets Trust	Consumer Services	Real Estate Investment Trusts	59.91	0.66	2.66	47184170	1.04	20.97	6.15	2.19
AAV	Advantage Oil & Gas Ltd	Energy	Oil & Gas Production	20.23	0.26	0	185898100	0	0.39	5.03	0.92
AB	Alliancebernstein Holding LP	Finance	Investment Managers	12.08	2.18	7.86	93536120	2.04	1.07	10.45	1.68
ABB	Abb Ltd	Consumer Durables	Electrical Products	24.43	1.04	3	2134070000	0.76	2.74	1.62	4.05
ABBV	Abbvie Inc			22.61	4.07	2.86	1594148000	2.56	1	5.35	23.76
ABC	Amerisourcebergen Corp	Health Care	Other Pharmaceuticals	19.9	3.84	1.85	219167300	1.46	1.63	0.11	6.76
ABEV	Ambev S.A.			26.74	0.24	2.52	15707360000	0.16	6.79	7	6.62
ABG	Asbury Automotive Group Inc	Consumer Durables	Automotive Aftermarket	7.92	7.69	0	20853860	0	0.82	0.2	4.05
ABM	ABM Industries Incorporated	Finance	Diversified Commercial Services	165.2	0.26	1.61	65027200	0.68	4.42	0.52	2.44
ABR	Arbor Realty Trust	Consumer Services	Real Estate Investment Trusts	7.58	1.09	8.72	61349030	0.72	1.17	1.79	0.87
ABR-A	Arbor Realty Trust Inc			0	0	0	0	0	0	0	0
ABR-B	Arbor Realty Trust Inc			0	0	0	0	0	0	0	0
ABR-C	Arbor Realty Trust			0	0	0	0	0	0	0	0
ABRN	Arbor Realty Trust 7.375% Senior			30.953	0.83	0	2199992	0	0	0.33	2.653
ABT	Abbott Laboratories	Consumer Durables	Major Pharmaceuticals	77.55	0.71	1.91	1737403000	1.06	1.87	4.08	3.05
ABX	Barrick Gold Corp	Basic Industries	Precious Metals	7.27	2.02	0.83	1166212000	0.12	-2.81	1.93	1.75
AC	Associated Capital Group Inc			0	-0.04	0.54	23863910	0.2	0	27.67	0.99
ACC	American Campus Communities Inc	Consumer Services	Real Estate Investment Trusts	86.94	0.48	4.22	136406800	1.76	3.01	7.36	1.6
ACCO	Acco Brands Corp			26	0.5	0	108812300	0	1.18	0.82	1.98
ACH	Aluminum Corporation of China Ltd	Basic Industries	Aluminum	81.08	0.25	0	595954600	0	0	0.45	2.22
ACM	Aecom Technology Corp	Consumer Services	Military/Government/Technical	21.57	1.63	0	156684600	0	20.15	0.31	1.48
ACN	Accenture Plc	Miscellaneous	Business Services	26.33	5.44	1.87	617532100	2.66	2.24	2.52	9.8
ACP	Avenue Income Credit Strategies	Finance	Property Management	0	0	0	0	0	0	0	0
ACRE	Ares Commercial Real Estate Cor			9.34	1.39	8.16	28557260	1.08	2.46	8.16	0.88
ACV	Allianzgi Diversified Income &	Consumer Non-Durables	Package Goods/Cosmetics	0	1.7	0	0	0	0	0	0
ADC	Agree Realty Corp	Consumer Services	Real Estate Investment Trusts	21.23	2.22	4.29	28389830	2.02	-26.99	12.86	1.69
ADM	Archer Daniels Midland Company	Consumer Non-Durables	Packaged Foods	18.21	2.37	2.97	562572500	1.28	-6.91	0.39	1.39
ADNT	Adient Plc			0	-3.55	1.32	93111640	1.1	0.74	0.48	1.98
ADS	Alliance Data Systems Corp	Miscellaneous	Business Services	26.43	8.77	0.87	55471680	2.08	1	1.74	9.06
ADSW	Advanced Disposal Services Inc			0	-0.29	0	88531180	0	4.81	1.56	2.71
ADT	ADT Inc.			0	1.7	0	0	0	0	0	0
ADX	Adams Express Company	Finance	Closed-End Fund - Debt	5.53	2.83	0	98465470	0	0	50.53	0.91
AEB	Aegon N.V. Perp Cap Secs Floating Rate [Ne]	Finance	Life Insurance	0	-0.31	0	0	0	0	0	0
AED	Aegon N.V. Perp Cap Secs [Ne]	Finance	Life Insurance	0	-0.307	0	0	0	0	0	0
AEE	Ameren Corp	Public Utilities	Power Generation	21.63	2.86	2.96	242556600	1.83	3.13	2.46	2.08
AEG	Aegon N.V.	Finance	Life Insurance	6.85	0.85	5.15	2044445000	0.31	0	0.19	0.42
AEH	Aegon N.V. Perp Cap Secs	Finance	Life Insurance	0	0.25	0	0	0	0	0	0
AEK	Aegon Nv 8.00% Non-Cum Notes Due 2042			88.31	0.3	0	21000000	0	0	0.01	1.87
AEL	American Equity Investment Life	Finance	Life Insurance	13.86	2.17	0.79	89036540	0.24	1.15	0.9	1.01
