RESULT_COUNT: 2899,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME,ADJ_FACTOR
2018-09-04,,,,730.9,,,,,,,,,1
2018-08-31,,,,726.41,,,,,,,,,1
2018-08-30,,,,729.79,,,,,,,,,1
2018-08-29,,,,729.97,,,,,,,,,1
2018-08-28,,,,725.71,,,,,,,,,1
2018-08-27,,,,727.21,,,,,,,,,1
2018-08-24,,,,731.08,,,,,,,,,1
2018-08-23,,,,728.77,,,,,,,,,1
2018-08-22,,,,729.14,,,,,,,,,1
2018-08-21,,,,734.72,,,,,,,,,1
2018-08-20,,,,740.03,,,,,,,,,1
2018-08-17,,,,743.96,,,,,,,,,1
2018-08-16,,,,741.02,,,,,,,,,1
2018-08-15,,,,732.32,,,,,,,,,1
2018-08-14,,,,725.68,,,,,,,,,1
2018-08-13,,,,724.47,,,,,,,,,1
2018-08-10,,,,723.51,,,,,,,,,1
2018-08-09,,,,727.45,,,,,,,,,1
2018-08-08,,,,724.89,,,,,,,,,1
2018-08-07,,,,727.85,,,,,,,,,1
2018-08-06,,,,730.17,,,,,,,,,1
2018-08-03,,,,728.81,,,,,,,,,1
2018-08-02,,,,721.94,,,,,,,,,1
2018-08-01,,,,717.8,,,,,,,,,1
2018-07-31,,,,724.24,,,,,,,,,1
2018-07-30,,,,717.02,,,,,,,,,1
2018-07-27,,,,721.6,,,,,,,,,1
2018-07-26,,,,725.38,,,,,,,,,1
2018-07-25,,,,717.07,,,,,,,,,1
2018-07-24,,,,716.61,,,,,,,,,1
2018-07-23,,,,713.8,,,,,,,,,1
2018-07-20,,,,718.2,,,,,,,,,1
2018-07-19,,,,723.96,,,,,,,,,1
2018-07-18,,,,717.6,,,,,,,,,1
2018-07-17,,,,720.82,,,,,,,,,1
2018-07-16,,,,721.05,,,,,,,,,1
2018-07-13,,,,721.87,,,,,,,,,1
2018-07-12,,,,720.88,,,,,,,,,1
2018-07-11,,,,720.56,,,,,,,,,1
2018-07-10,,,,713.75,,,,,,,,,1
2018-07-09,,,,706.93,,,,,,,,,1
