RESULT_COUNT: 532,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME,ADJ_FACTOR
2018-09-04,17.18,17.47,17.18,17.24,10905.0,0.113,1.0,17.18,17.47,17.18,17.24,10905.0,0.993464430306536
2018-09-03,17.05,17.31,17.05,17.29,35717.0,0.0,1.0,16.93856853672644,17.196869288606138,16.93856853672644,17.177000000000007,35717.0,1.0
2018-09-02,16.88,17.07,16.85,17.05,10913.0,0.0,1.0,16.769679583574327,16.95843782533257,16.739875650665134,16.93856853672644,10913.0,1.0
2018-08-30,16.73,16.95,16.73,16.88,13206.0,0.0,1.0,16.62065991902835,16.839222093695785,16.62065991902835,16.769679583574327,13206.0,1.0
2018-08-29,16.36,16.96,16.32,16.73,8051.0,0.0,1.0,16.253078079814927,16.84915673799885,16.21333950260267,16.62065991902835,8051.0,1.0
2018-08-28,16.1,16.4,16.1,16.37,26649.0,0.0,1.0,15.99477732793523,16.29281665702719,15.99477732793523,16.263012724117996,26649.0,1.0
2018-08-27,16.89,17.05,15.71,15.96,48069.0,0.0,1.0,16.779614227877392,16.93856853672644,15.607326200115681,15.855692307692316,48069.0,1.0
2018-08-26,17.01,17.06,16.32,16.89,9525.0,0.0,1.0,16.898829959514178,16.9485031810295,16.21333950260267,16.779614227877392,9525.0,1.0
2018-08-22,16.74,16.74,16.36,16.66,8140.0,0.0,1.0,16.63059456333141,16.63059456333141,16.253078079814927,16.55111740890689,8140.0,1.0
2018-08-21,16.25,16.79,16.26,16.74,21102.0,0.0,1.0,16.14379699248121,16.680267784846738,16.153731636784276,16.63059456333141,21102.0,1.0
2018-08-20,16.17,16.45,16.17,16.25,63430.0,0.0,1.0,16.06431983805669,16.342489878542516,16.06431983805669,16.14379699248121,63430.0,1.0
2018-08-19,16.0,16.41,16.0,16.17,8595.0,0.0,1.0,15.895430884904576,16.302751301330254,15.895430884904576,16.06431983805669,8595.0,1.0
2018-08-16,16.11,16.25,16.2,16.23,626.0,0.0,1.0,16.004711972238294,16.14379699248121,16.094123770965883,16.12392770387508,626.0,1.0
2018-08-15,16.29,16.32,16.05,16.11,12560.0,0.0,1.0,16.18353556969347,16.21333950260267,15.945104106419903,16.004711972238294,12560.0,1.0
2018-08-14,16.43,16.36,16.23,16.29,1005.0,0.0,1.0,16.322620589936385,16.253078079814927,16.12392770387508,16.18353556969347,1005.0,1.0
2018-08-13,16.64,16.57,16.22,16.43,5167.0,0.0,1.0,16.53124812030076,16.4617056101793,16.113993059572014,16.322620589936385,5167.0,1.0
2018-08-12,16.68,16.69,16.4,16.64,1045.0,0.0,1.0,16.57098669751302,16.580921341816087,16.29281665702719,16.53124812030076,1045.0,1.0
2018-08-09,16.88,17.0,16.65,16.68,10731.0,0.0,1.0,16.769679583574327,16.888895315211112,16.54118276460382,16.57098669751302,10731.0,1.0
2018-08-08,16.83,16.96,16.8,16.88,2641.0,0.0,1.0,16.720006362059,16.84915673799885,16.690202429149807,16.769679583574327,2641.0,1.0
2018-08-07,16.95,17.0,16.71,16.83,10330.0,0.0,1.0,16.839222093695785,16.888895315211112,16.600790630422217,16.720006362059,10330.0,1.0
2018-08-06,16.91,17.0,16.8,16.95,2551.0,0.0,1.0,16.799483516483523,16.888895315211112,16.690202429149807,16.839222093695785,2551.0,1.0
2018-08-05,17.0,17.0,16.8,16.91,3367.0,0.0,1.0,16.888895315211112,16.888895315211112,16.690202429149807,16.799483516483523,3367.0,1.0
2018-08-02,17.52,17.4,16.65,16.86,16874.0,0.0,1.0,17.40549681897051,17.286281087333723,16.54118276460382,16.749810294968196,16874.0,1.0
2018-08-01,18.0,18.0,17.31,17.52,6832.0,0.0,1.0,17.882359745517647,17.882359745517647,17.196869288606138,17.40549681897051,6832.0,1.0
2018-07-31,17.67,17.7,17.55,17.61,2697.0,0.0,1.0,17.554516483516494,17.584320416425687,17.43530075187971,17.494908617698098,2697.0,1.0
2018-07-30,17.5,17.81,17.5,17.67,2112.0,0.0,1.0,17.38562753036438,17.693601503759403,17.38562753036438,17.554516483516494,2112.0,1.0
2018-07-29,17.58,17.67,17.6,17.63,5561.0,0.0,1.0,17.4651046847889,17.554516483516494,17.484973973395036,17.51477790630423,5561.0,1.0
2018-07-26,17.3,17.76,17.5,17.58,28313.0,0.0,1.0,17.186934644303072,17.64392828224408,17.38562753036438,17.4651046847889,28313.0,1.0
2018-07-25,16.53,17.37,16.95,17.3,10810.0,0.0,1.0,16.42196703296704,17.25647715442453,16.839222093695785,17.186934644303072,10810.0,1.0
2018-07-24,16.67,16.72,16.44,16.53,32050.0,0.0,1.0,16.561052053209956,16.61072527472528,16.332555234239454,16.42196703296704,32050.0,1.0
2018-07-23,16.4,16.89,16.4,16.67,7558.0,0.0,1.0,16.29281665702719,16.779614227877392,16.29281665702719,16.561052053209956,7558.0,1.0
2018-07-19,16.45,16.47,16.06,16.4,1914.0,0.0,1.0,16.342489878542516,16.362359167148647,15.955038750722967,16.29281665702719,1914.0,1.0
2018-07-18,16.38,16.5,16.34,16.45,3354.0,0.0,1.0,16.272947368421057,16.392163100057843,16.2332087912088,16.342489878542516,3354.0,1.0
2018-07-17,16.29,16.5,16.3,16.38,2965.0,0.0,1.0,16.18353556969347,16.392163100057843,16.193470213996537,16.272947368421057,2965.0,1.0
2018-07-16,15.85,16.45,15.97,16.29,52103.0,0.0,1.0,15.746411220358596,16.342489878542516,15.865626951995381,16.18353556969347,52103.0,1.0
2018-07-15,16.04,16.0,15.75,15.85,12560.0,0.0,1.0,15.935169462116836,15.895430884904576,15.647064777327941,15.746411220358596,12560.0,1.0
2018-07-12,15.72,16.06,15.69,16.04,44200.0,0.0,1.0,15.617260844418746,15.955038750722967,15.587456911509548,15.935169462116836,44200.0,1.0
2018-07-11,15.95,15.9,15.38,15.73,28462.0,0.0,1.0,15.845757663389248,15.796084441873923,15.279482938114525,15.627195488721812,28462.0,1.0
2018-07-10,16.46,16.16,15.71,15.95,86105.0,0.0,1.0,16.352424522845585,16.05438519375362,15.607326200115681,15.845757663389248,86105.0,1.0
2018-07-09,16.72,16.68,16.2,16.46,2276.0,0.0,1.0,16.61072527472528,16.57098669751302,16.094123770965883,16.352424522845585,2276.0,1.0
2018-07-08,17.0,16.74,16.67,16.72,1888.0,0.0,1.0,16.888895315211112,16.63059456333141,16.561052053209956,16.61072527472528,1888.0,1.0
2018-07-05,17.0,17.0,17.0,17.0,608.0,0.0,1.0,16.888895315211112,16.888895315211112,16.888895315211112,16.888895315211112,608.0,1.0
2018-07-04,17.16,17.0,17.0,17.0,907.0,0.0,1.0,17.047849624060156,16.888895315211112,16.888895315211112,16.888895315211112,907.0,1.0
2018-07-03,17.39,17.39,17.05,17.16,4972.0,0.0,1.0,17.27634644303066,17.27634644303066,16.93856853672644,17.047849624060156,4972.0,1.0
2018-07-02,17.8,17.75,17.0,17.28,4307.0,0.0,1.0,17.68366685945634,17.633993637941014,16.888895315211112,17.16706535569694,4307.0,1.0
2018-07-01,17.87,17.93,17.68,17.8,2267.0,0.0,1.0,17.7532093695778,17.81281723539619,17.564451127819556,17.68366685945634,2267.0,1.0
2018-06-28,17.85,17.88,17.8,17.87,3690.0,0.0,1.0,17.73334008097167,17.76314401388086,17.68366685945634,17.7532093695778,3690.0,1.0
2018-06-27,17.91,17.96,17.85,17.89,2642.0,0.0,1.0,17.792947946790058,17.84262116830539,17.73334008097167,17.77307865818393,2642.0,1.0
2018-06-26,17.92,18.03,17.6,17.91,4929.0,0.0,1.0,17.802882591093127,17.912163678426843,17.484973973395036,17.792947946790058,4929.0,1.0
2018-06-25,17.77,18.24,17.7,17.92,6730.0,0.0,1.0,17.653862926547145,18.120791208791214,17.584320416425687,17.802882591093127,6730.0,1.0
2018-06-24,17.97,18.0,17.71,17.77,7399.0,0.0,1.0,17.85255581260845,17.882359745517647,17.594255060728752,17.653862926547145,7399.0,1.0
2018-06-21,18.13,18.13,17.62,17.97,66836.0,0.0,1.0,18.011510121457498,18.011510121457498,17.504843262001163,17.85255581260845,66836.0,1.0
2018-06-20,17.93,18.2,17.9,17.96,32314.0,0.0,1.0,17.81281723539619,18.081052631578952,17.783013302486992,17.84262116830539,32314.0,1.0
2018-06-19,17.94,18.2,17.85,17.93,28238.0,0.0,1.0,17.822751879699258,18.081052631578952,17.73334008097167,17.81281723539619,28238.0,1.0
2018-06-18,17.93,18.05,17.88,17.94,9555.0,0.0,1.0,17.81281723539619,17.932032967032974,17.76314401388086,17.822751879699258,9555.0,1.0
2018-06-17,17.89,18.0,17.92,17.93,17077.0,0.0,1.0,17.77307865818393,17.882359745517647,17.802882591093127,17.81281723539619,17077.0,1.0
2018-06-14,17.51,17.97,17.46,17.89,14021.0,0.0,1.0,17.395562174667447,17.85255581260845,17.34588895315212,17.77307865818393,14021.0,1.0
2018-06-13,17.0,18.48,17.0,17.92,61019.0,0.0,1.0,16.888895315211112,18.359222672064785,16.888895315211112,17.802882591093127,61019.0,1.0
2018-06-12,17.21,17.28,17.0,17.0,13995.0,0.0,1.0,17.097522845575487,17.16706535569694,16.888895315211112,16.888895315211112,13995.0,1.0
2018-06-11,17.26,17.21,17.2,17.21,730.0,0.0,1.0,17.147196067090814,17.097522845575487,17.087588201272418,17.097522845575487,730.0,1.0
2018-06-10,17.26,17.26,17.2,17.26,6045.0,0.0,1.0,17.147196067090814,17.147196067090814,17.087588201272418,17.147196067090814,6045.0,1.0
2018-06-07,17.0,17.78,17.0,17.26,6963.0,0.0,1.0,16.888895315211112,17.66379757085021,16.888895315211112,17.147196067090814,6963.0,1.0
2018-06-06,17.1,17.27,17.1,17.21,720.0,0.0,1.0,16.988241758241767,17.157130711393876,16.988241758241767,17.097522845575487,720.0,1.0
2018-06-05,16.99,17.24,16.99,17.1,15387.0,0.0,1.0,16.878960670908043,17.12732677848468,16.878960670908043,16.988241758241767,15387.0,1.0
2018-06-04,16.74,17.0,16.74,16.95,7559.0,0.0,1.0,16.63059456333141,16.888895315211112,16.63059456333141,16.839222093695785,7559.0,1.0
2018-06-03,16.32,16.75,16.62,16.68,3402.0,0.0,1.0,16.21333950260267,16.64052920763448,16.51137883169463,16.57098669751302,3402.0,1.0
2018-05-31,16.0,16.49,16.0,16.32,18692.0,0.182,1.0,15.895430884904576,16.382228455754777,15.895430884904576,16.21333950260267,18692.0,0.988617886178862
2018-05-30,15.33,16.17,15.47,15.99,13523.0,0.0,1.0,15.056462288930591,15.881473921200763,15.193964227642288,15.704685714285725,13523.0,1.0
2018-05-29,16.1,16.2,15.33,15.33,29983.0,0.0,1.0,15.812722951844915,15.910938622353267,15.056462288930591,15.056462288930591,29983.0,1.0
2018-05-28,16.43,16.17,15.61,16.1,93058.0,0.0,1.0,16.136834664522482,15.881473921200763,15.331466166353982,15.812722951844915,93058.0,1.0
2018-05-27,16.51,16.59,16.09,16.43,8150.0,0.0,1.0,16.215407200929164,16.293979737335846,15.802901384794078,16.136834664522482,8150.0,1.0
2018-05-24,16.6,16.61,16.45,16.51,11134.0,0.0,1.0,16.30380130438668,16.313622871437516,16.15647779862415,16.215407200929164,11134.0,1.0
2018-05-22,16.37,16.55,16.17,16.18,8692.0,0.0,1.0,16.07790526221747,16.254693469132505,15.881473921200763,15.891295488251597,8692.0,1.0
2018-05-21,16.3,16.42,16.3,16.37,2066.0,0.0,1.0,16.00915429286162,16.127013097471647,16.00915429286162,16.07790526221747,2066.0,1.0
2018-05-17,16.46,16.46,16.3,16.3,6974.0,0.0,1.0,16.166299365674988,16.166299365674988,16.00915429286162,16.00915429286162,6974.0,1.0
2018-05-16,16.47,16.55,16.35,16.46,2156.0,0.0,1.0,16.17612093272582,16.254693469132505,16.0582621281158,16.166299365674988,2156.0,1.0
2018-05-15,16.5,16.54,16.4,16.47,6080.0,0.0,1.0,16.20558563387833,16.24487190208167,16.107369963369973,16.17612093272582,6080.0,1.0
2018-05-14,16.57,16.55,16.4,16.5,4107.0,0.0,1.0,16.274336603234175,16.254693469132505,16.107369963369973,16.20558563387833,4107.0,1.0
2018-05-13,16.54,16.7,16.55,16.57,11002.0,0.0,1.0,16.24487190208167,16.402016974895034,16.254693469132505,16.274336603234175,11002.0,1.0
2018-05-10,16.72,16.84,16.43,16.54,17337.0,0.0,1.0,16.421660108996704,16.53951891360673,16.136834664522482,16.24487190208167,17337.0,1.0
2018-05-09,16.82,16.98,16.48,16.72,23625.0,0.0,1.0,16.51987577950506,16.677020852318424,16.185942499776658,16.421660108996704,23625.0,1.0
2018-05-08,16.79,16.9,16.7,16.82,6807.0,0.0,1.0,16.49041107835255,16.59844831591174,16.402016974895034,16.51987577950506,6807.0,1.0
2018-05-07,16.88,16.9,16.71,16.79,18851.0,0.0,1.0,16.578805181810072,16.59844831591174,16.411838541945873,16.49041107835255,18851.0,1.0
2018-05-06,16.83,17.1,16.75,16.88,10603.0,0.0,1.0,16.529697346555892,16.79487965692845,16.45112481014921,16.578805181810072,10603.0,1.0
2018-05-03,17.4,17.42,17.0,17.17,3268.0,0.0,1.0,17.08952666845351,17.109169802555183,16.696663986420095,16.863630626284298,3268.0,1.0
2018-05-02,17.29,17.69,17.29,17.4,10943.0,0.0,1.0,16.98148943089432,17.374352112927735,16.98148943089432,17.08952666845351,10943.0,1.0
2018-05-01,17.3,17.31,17.07,17.29,906.0,0.0,1.0,16.991310997945156,17.00113256499599,16.76541495577594,16.98148943089432,906.0,1.0
2018-04-30,17.3,17.31,16.41,17.3,63088.0,0.0,1.0,16.991310997945156,17.00113256499599,16.11719153042081,16.991310997945156,63088.0,1.0
2018-04-29,17.83,17.82,17.14,17.3,21404.0,0.0,1.0,17.51185405163943,17.502032484588593,16.834165925131792,16.991310997945156,21404.0,1.0
2018-04-26,17.9,17.9,17.74,17.83,10343.0,0.0,1.0,17.580605020995275,17.580605020995275,17.42345994818191,17.51185405163943,10343.0,1.0
2018-04-25,18.0,18.01,17.78,17.9,2337.0,0.0,1.0,17.67882069150363,17.688642258554466,17.462746216385256,17.580605020995275,2337.0,1.0
2018-04-24,17.91,18.05,17.81,18.0,15972.0,0.0,1.0,17.590426588046114,17.727928526757808,17.492210917537758,17.67882069150363,15972.0,1.0
2018-04-23,18.15,18.55,17.9,17.91,49848.0,0.0,1.0,17.82614419726616,18.219006879299574,17.580605020995275,17.590426588046114,49848.0,1.0
2018-04-22,18.62,18.98,17.76,18.15,8226.0,0.0,1.0,18.287757848655424,18.641334262485497,17.443103082283585,17.82614419726616,8226.0,1.0
2018-04-17,19.2,19.2,18.51,18.62,5678.0,0.0,1.0,18.857408737603873,18.857408737603873,18.179720611096236,18.287757848655424,5678.0,1.0
2018-04-16,19.4,19.49,19.11,19.2,11099.0,0.0,1.0,19.053840078620578,19.142234182078095,18.769014634146355,18.857408737603873,11099.0,1.0
2018-04-15,19.44,19.5,19.26,19.4,4525.0,0.0,1.0,19.093126346823922,19.152055749128934,18.916338139908888,19.053840078620578,4525.0,1.0
2018-04-12,19.27,19.5,19.24,19.44,4256.0,0.0,1.0,18.92615970695972,19.152055749128934,18.896695005807214,19.093126346823922,4256.0,1.0
2018-04-11,19.4,19.4,18.6,19.27,11403.0,0.0,1.0,19.053840078620578,19.053840078620578,18.268114714553754,18.92615970695972,11403.0,1.0
2018-04-10,18.83,19.46,18.37,19.14,27083.0,0.0,1.0,18.494010756722965,19.112769480925593,18.04221867238454,18.79847933529886,27083.0,1.0
2018-04-09,19.0,19.13,17.99,18.83,58381.0,0.0,1.0,18.660977396587164,18.788657768248026,17.668999124452792,18.494010756722965,58381.0,1.0
2018-04-08,20.98,20.98,18.8,19.13,19115.0,0.0,1.0,20.605647672652566,20.605647672652566,18.46454605557046,18.788657768248026,19115.0,1.0
2018-04-04,19.65,20.0,19.0,19.27,1540.0,0.0,1.0,19.299379254891463,19.6431341016707,18.660977396587164,18.92615970695972,1540.0,1.0
2018-04-03,19.77,20.18,19.59,19.65,5662.0,0.41,1.0,19.417238059501486,19.81992230858574,19.24044985258645,19.299379254891463,5662.0,0.979682854311199
2018-04-02,19.86,21.32,20.0,20.18,1019.0,0.0,1.0,19.109333392552003,20.514148435509,19.244041684342402,19.417238059501482,1019.0,1.0
2018-04-01,19.51,19.99,19.75,19.86,2441.0,0.0,1.0,18.772562663076013,19.23441966350023,19.00349116328812,19.109333392552003,2441.0,1.0
2018-03-29,19.09,19.55,19.15,19.51,12704.0,0.0,1.0,18.36843778770482,18.811050746444696,18.426169912757846,18.772562663076013,12704.0,1.0
2018-03-28,19.42,19.63,18.67,19.09,14565.0,0.0,1.0,18.685964475496473,18.888026913182067,17.964312912333632,18.36843778770482,14565.0,1.0
2018-03-27,20.0,20.0,19.35,19.42,30004.0,0.0,1.0,19.244041684342402,19.244041684342402,18.618610329601275,18.685964475496473,30004.0,1.0
2018-03-26,20.3,20.71,19.71,20.0,47027.0,0.0,1.0,19.532702309607537,19.927205164136556,18.965003079919438,19.244041684342402,47027.0,1.0
2018-03-25,20.78,20.78,20.0,20.3,10292.0,0.0,1.0,19.994559310031757,19.994559310031757,19.244041684342402,19.532702309607537,10292.0,1.0
2018-03-22,20.8,21.25,20.46,20.76,2531.0,0.0,1.0,20.0138033517161,20.446794289613802,19.686654643082278,19.975315268347416,2531.0,1.0
2018-03-21,20.78,20.85,20.78,20.8,4323.0,0.0,1.0,19.994559310031757,20.061913455926955,19.994559310031757,20.0138033517161,4323.0,1.0
2018-03-20,21.13,21.15,20.19,20.78,26954.0,0.0,1.0,20.331330039507744,20.35057408119209,19.426860080343655,19.994559310031757,26954.0,1.0
2018-03-19,21.45,21.49,20.6,21.13,11492.0,0.0,1.0,20.639234706457223,20.677722789825907,19.821362934872674,20.331330039507744,11492.0,1.0
2018-03-18,21.69,21.63,21.29,21.45,2713.0,0.0,1.0,20.870163206669336,20.812431081616307,20.485282372982486,20.639234706457223,2713.0,1.0
2018-03-15,21.74,21.9,21.5,21.69,2422.0,0.0,1.0,20.91827331088019,21.072225644354926,20.68734481066808,20.870163206669336,2422.0,1.0
2018-03-14,21.86,21.75,21.69,21.74,966.0,0.0,1.0,21.033737560986243,20.92789533172236,20.870163206669336,20.91827331088019,966.0,1.0
2018-03-13,21.86,22.0,21.8,21.86,797.0,0.0,1.0,21.033737560986243,21.168445852776642,20.976005435933217,21.033737560986243,797.0,1.0
2018-03-12,21.86,22.0,21.41,21.86,93932.0,0.0,1.0,21.033737560986243,21.168445852776642,20.60074662308854,21.033737560986243,93932.0,1.0
2018-03-11,21.52,22.2,21.7,21.86,2168.0,0.0,1.0,20.70658885235242,21.360886269620064,20.879785227511505,21.033737560986243,2168.0,1.0
2018-03-08,21.5,21.68,21.23,21.52,4756.0,0.0,1.0,20.68734481066808,20.860541185827163,20.42755024792946,20.70658885235242,4756.0,1.0
2018-03-07,21.6,21.5,21.35,21.5,3790.0,0.0,1.0,20.783565019089796,20.68734481066808,20.543014498035514,20.68734481066808,3790.0,1.0
2018-03-06,21.65,21.65,21.48,21.6,285.0,0.0,1.0,20.83167512330065,20.83167512330065,20.668100768983738,20.783565019089796,285.0,1.0
2018-03-05,21.46,21.47,20.71,21.46,8825.0,0.0,1.0,20.648856727299396,20.658478748141565,19.927205164136556,20.648856727299396,8825.0,1.0
2018-03-04,21.5,21.53,21.2,21.46,3549.0,0.0,1.0,20.68734481066808,20.716210873194594,20.398684185402946,20.648856727299396,3549.0,1.0
2018-02-28,21.05,21.51,20.43,21.5,13913.0,0.0,1.0,20.254353872770377,20.696966831510252,19.657788580555764,20.68734481066808,13913.0,1.0
2018-02-27,21.77,21.77,20.56,21.05,7883.0,0.0,1.0,20.947139373406703,20.947139373406703,19.782874851503987,20.254353872770377,7883.0,1.0
2018-02-26,21.49,21.59,21.2,21.24,2402.0,0.0,1.0,20.677722789825907,20.773942998247623,20.398684185402946,20.43717226877163,2402.0,1.0
2018-02-25,21.63,21.65,20.45,21.49,8756.0,0.0,1.0,20.812431081616307,20.83167512330065,19.677032622240105,20.677722789825907,8756.0,1.0
2018-02-22,20.7,22.0,20.3,21.63,21076.0,0.0,1.0,19.917583143294383,21.168445852776642,19.532702309607537,20.812431081616307,21076.0,1.0
2018-02-21,21.32,21.31,20.64,20.85,2189.0,0.0,1.0,20.514148435509,20.504526414666827,19.859851018241358,20.061913455926955,2189.0,1.0
2018-02-20,22.4,22.4,21.18,21.32,4564.0,0.0,1.0,21.55332668646349,21.55332668646349,20.379440143718604,20.514148435509,4564.0,1.0
2018-02-19,20.2,21.52,20.2,21.08,9634.0,0.0,1.0,19.436482101185824,20.70658885235242,19.436482101185824,20.283219935296888,9634.0,1.0
