RESULT_COUNT: 1922,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,COMPOSITE_FIGI,COMPOSITE_FIGI_TICKER,SECURITY_NAME,MARKET_SECTOR,SECURITY_TYPE,STOCK_EXCHANGE,LAST_CRSP_ADJ_DATE,CURRENCY
00281014,00281014:IT,BBG000BXH0Q7,BBG000BXH0Q7,00281014:IT,ICL-Israel Chemicals Ltd.,Equity,,TASE,,USD
00649012,00649012:IT,BBG000BZ7MX7,BBG000BZ7MX7,00649012:IT,Koor Industries Ltd.,Equity,Ordinary Shares,TASE,,ILS
01082551,01082551:IT,BBG000MYWL26,BBG000MYWKR1,01082551:IT,Blue Square - Israel Ltd.,Equity,,TASE,,USD
01082817,01082817:IT,BBG000KVX9C9,BBG000KVX9C9,01082817:IT,B.O.S. Better Online Solutions,Equity,,TASE,,USD
01086537,01086537:IT,BBG000DNBC87,BBG000DNBC87,01086537:IT,Given Imaging,Equity,Ordinary Shares,TASE,,ILS
01088046,01088046:IT,BBG0000B1HY8,,01088046:IT,Giron Development And Building Ltd.,Corp,FR BD CONVERT 31/07/2011 ILS,TASE,,ILS
01088947,01088947:IT,BBG0008WYDX8,,01088947:IT,Gadot Chemical Tankers & Terminals Ltd,Corp,FR BD CONVERT 06/12/2009 ILS,TASE,,ILS
01090471,01090471:IT,BBG000030VV9,,01090471:IT,Plastro Irrigation Systems Ltd,Corp,6.25% BD CONVERT 01/07/2012 ILS 1,TASE,,ILS
01091677,01091677:IT,BBG0000F8FG6,,01091677:IT,Arad Ltd,Corp,3.95% BD CONVERT 31/12/2010 ILS 1,TASE,,ILS
01091701,01091701:IT,BBG0008BDV03,,01091701:IT,P.C.B. Technologies Ltd,Corp,FR BD CONVERT 31/12/2008 ILS,TASE,,ILS
01092923,01092923:IT,BBG00006KMS4,,01092923:IT,NetVision,Corp,4% BD CONVERT 01/06/2011 ILS 1,TASE,,ILS
01093277,01093277:IT,BBG00006P1X9,,01093277:IT,Naaman Porcelain Ltd.,Corp,4.75% BD CONVERT 31/05/2012 ILS 1,TASE,,ILS
01097823,01097823:IT,BBG000QS6DG7,BBG000QS6DB2,01097823:IT,,Equity,Exchange Traded Fund,TASE,,JPY
01098714,01098714:IT,BBG00084LKR5,,01098714:IT,Hadasit Bio-Holdings Ltd,Corp,FR BD CONVERT 31/08/2008 ILS,TASE,,ILS
01099779,01099779:IT,BBG000WDF4Q2,BBG000WDF4J0,01099779:IT,KSM SHORT TA 25 B,Equity,Exchange Traded Fund,TASE,,ILS
01100841,01100841:IT,BBG0008WRB06,,01100841:IT,My Size Inc,Corp,FR BD CONVERT 14/11/2009 ILS,TASE,,ILS
01101039,01101039:IT,BBG00007DZY4,,01101039:IT,Endymed Ltd,Corp,7% BD CONVERT 31/12/2011 ILS 1,TASE,,ILS
01102474,01102474:IT,BBG000044BD7,,01102474:IT,Itamar Medical Ltd,Corp,7.50% BD CONVERT 10/02/2014 ILS 1,TASE,,ILS
01104132,01104132:IT,BBG0000HYTX4,,01104132:IT,Z.M.H Hammerman Ltd,Corp,7.50% BD CONVERT 31/05/2014 ILS 1,TASE,,ILS
01104181,01104181:IT,BBG000PQ23X9,BBG000PQ23H7,01104181:IT,Clal Mabat 26 TA-25 Index ETF,Equity,Exchange Traded Fund,TASE,,ILS
01105808,01105808:IT,BBG001MB4T28,BBG001MB4T19,01105808:IT,KSM Short TA Banks - 200% Daily Exposure,Equity,Exchange Traded Fund,TASE,,ILS
01105816,01105816:IT,BBG000GLSZY0,BBG000GLSZ89,01105816:IT,KSM Short Real Estate 15 - 200% Daily Exposure,Equity,Exchange Traded Fund,TASE,,ILS
0113940D,0113940D:IT,BBG001K7CR42,BBG001K7CR33,0113940D:IT,Athlone Global Security Inc.,,Ordinary Shares,TASE,,ILS
01380054,01380054:IT,BBG00003J2Y0,,01380054:IT,Arazim Investment Ltd,Corp,4.25% BD CONVERT 02/06/2013 ILS 1,TASE,,ILS
01410075,01410075:IT,BBG00084DDB7,,01410075:IT,S. Shlomo Holdings Ltd,Corp,FR BD CONVERT 20/08/2008 ILS,TASE,,ILS
01790039,01790039:IT,BBG0000DJFR7,,01790039:IT,Olimpia Real Estate Holdings Ltd.,Corp,6% BD CONVERT 28/02/2011 ILS 1,TASE,,ILS
01980101,01980101:IT,BBG0000D1C48,,01980101:IT,Jerusalem Economy Ltd,Corp,4.50% BD CONVERT 28/02/2014 ILS 1,TASE,,ILS
02600187,02600187:IT,BBG00096VR93,,02600187:IT,Ormat Industries Ltd.,Corp,Warrants (31/05/2006),TASE,,ILS
03560067,03560067:IT,BBG0000S0XX8,,03560067:IT,Sovereign Assets Ltd,Corp,3% BD REDCONV 30/06/2013 ILS 1,TASE,,ILS
03970027,03970027:IT,BBG0000J6YK4,,03970027:IT,New Horizon Group Ltd,Corp,ZC BD CONVERT 31/01/2014 ILS 1,TASE,,ILS
03990017,03990017:IT,BBG0000F9FL9,,03990017:IT,Brill Shoe Industries Ltd.,Corp,FR BD CONVERT 02/09/2011 ILS,TASE,,ILS
04510038,04510038:IT,BBG0000F9K38,,04510038:IT,Shahar Hamillennium (1991) Ltd,Corp,FR BD CONVERT 02/01/2012 ILS,TASE,,ILS
05280029,05280029:IT,BBG0000DZW74,,05280029:IT,Maabarot Products Ltd.,Corp,6% BD CONVERT 05/04/2012 ILS 1,TASE,,ILS
07710098,07710098:IT,BBG0000FHMP1,,07710098:IT,Engel Resources & Development Ltd.,Corp,5.50% BD CONVERT 31/12/2012 ILS 1,TASE,,ILS
3424123Z,3424123Z:IT,BBG001Q6S326,BBG000PPK8F0,3424123Z:IT,Sunday Energy Ltd,,Ordinary Shares,TASE,,ILS
3618137Z,3618137Z:IT,BBG000V1TSX3,BBG000V1TSM5,3618137Z:IT,Applied Spectral Imaging Ltd,,Ordinary Shares,TASE,,ILS
8181892Z,8181892Z:IT,BBG001JYJK16,BBG001JYJK07,8181892Z:IT,Gardia Medical Ltd.,,Ordinary Shares,TASE,,ILS
8234041Z,8234041Z:IT,BBG001LWKS27,BBG001LWKFR8,8234041Z:IT,Quark Pharmaceuticals,,Ordinary Shares,TASE,,ILS
AAUDIT 6.1 10/30/14 B1,AAUDIT 6.1 10/30/14 B1:IT,BBG0000LLY59,,AAUDIT 6.1 10/30/14 B1:IT,ACE AUTO DEPOT,Corp,DOMESTIC,TASE,,ILS
ABEIT 5 02/28/13 B1,ABEIT 5 02/28/13 B1:IT,BBG0000BDHW7,,ABEIT 5 02/28/13 B1:IT,ABETRANS LTD,Corp,DOMESTIC,TASE,,ILS
ABIL,ABIL:IT,BBG00HM85898,BBG00HM85870,ABIL:IT,Ability Inc,Equity,Ordinary Shares,TASE,2018-03-25,ILS
ABIL,ABIL:IT,BBG00BVHS5G4,BBG00BVHS5F5,ABIL:IT,Ability Inc,,Ordinary Shares,TASE,,USD
ABTR-M,ABTR-M:IT,BBG000PHLXH0,BBG000PHLWP3,ABTR-M:IT,Abetrans Ltd,Equity,Ordinary Shares,TASE,,ILS
ACDP.W1,ACDP.W1:IT,BBG000RC9XN6,BBG000RC9WN8,ACDP.W1:IT,Ace Auto Depot Ltd,,Warrants (10/11/2011),TASE,,ILS
ADGR,ADGR:IT,BBG000Q6G786,BBG000Q6G6Z8,ADGR:IT,Adgar Investment & Development Ltd,Equity,Ordinary Shares,TASE,2018-05-30,ILS
ADGRIT 4.7 03/12/15 B5,ADGRIT 4.7 03/12/15 B5:IT,BBG00003QBX3,,ADGRIT 4.7 03/12/15 B5:IT,ADGAR INVESTMENTS & DEVE,Corp,DOMESTIC,TASE,,ILS
ADGRIT 6.1 05/01/17 B6,ADGRIT 6.1 05/01/17 B6:IT,BBG0000QWPR1,,ADGRIT 6.1 05/01/17 B6:IT,ADGAR INVESTMENTS & DEVE,Corp,DOMESTIC,TASE,,ILS
ADGRIT 6.35 09/01/13 B4,ADGRIT 6.35 09/01/13 B4:IT,BBG0000DMZ08,,ADGRIT 6.35 09/01/13 B4:IT,ADGAR INVESTMENTS & DEVE,Corp,DOMESTIC,TASE,,ILS
ADKA,ADKA:IT,BBG00KDGML77,BBG00KDGML68,ADKA:IT,Adika Style Ltd,,Ordinary Shares,TASE,,ILS
ADN.C2-L,ADN.C2-L:IT,BBG0000FL2R8,,ADN.C2-L:IT,A.D.N Global Equity Ltd,Corp,FR BD CONVERT 20/04/2014 ILS,TASE,,ILS
ADO,ADO:IT,BBG000FLHYF7,BBG000FLGWP1,ADO:IT,A.D.O. Group Ltd,Equity,Ordinary Shares,TASE,2014-06-01,ILS
ADUM,ADUM:IT,BBG000FKRRC6,BBG000FKQPD0,ADUM:IT,Adumim A.D. Holdings Ltd.,,Ordinary Shares,TASE,,ILS
ADVIT 8.1 12/30/13 B1,ADVIT 8.1 12/30/13 B1:IT,BBG0000HFRK3,,ADVIT 8.1 12/30/13 B1:IT,ADVANTECH TECHNOLOGIES,Corp,DOMESTIC,TASE,,ILS
AFHL,AFHL:IT,BBG000G28MR1,BBG000G28MC7,AFHL:IT,Afcon Holdings Ltd,Equity,Ordinary Shares,TASE,2017-09-18,ILS
AFHLIT 6.1 10/16/11 B1,AFHLIT 6.1 10/16/11 B1:IT,BBG00005YPZ6,,AFHLIT 6.1 10/16/11 B1:IT,AFCON HOLDINGS LTD,Corp,DOMESTIC,TASE,,ILS
AFHLIT 6.9 03/31/17 B2,AFHLIT 6.9 03/31/17 B2:IT,BBG0016WYYJ8,,AFHLIT 6.9 03/31/17 B2:IT,AFCON HOLDINGS LTD,Corp,DOMESTIC,TASE,,ILS
AFID-L,AFID-L:IT,BBG000FK6NC8,BBG000FK6MC0,AFID-L:IT,Africa Israel Industries Ltd,Equity,Ordinary Shares,TASE,,ILS
AFIL,AFIL:IT,BBG000BK0LF9,BBG000BK0L41,AFIL:IT,Africa-Israel Investments Ltd.,Equity,Ordinary Shares,TASE,,ILS
AFIL.W8,AFIL.W8:IT,BBG004KDF9K2,BBG004KDF9J4,AFIL.W8:IT,Africa-Israel Investments Ltd.,,Warrants (31/10/2013),TASE,,ILS
AFIL.W9,AFIL.W9:IT,BBG006JCPDF7,BBG006JCPDC0,AFIL.W9:IT,Africa-Israel Investments Ltd.,,Warrants (31/03/2015),TASE,,ILS
