RESULT_COUNT: 32548,PAGE_SIZE: 10000,CURRENT_PAGE: 3,TOTAL_PAGES: 4,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,COMPOSITE_FIGI,COMPOSITE_FIGI_TICKER,SECURITY_NAME,MARKET_SECTOR,SECURITY_TYPE,STOCK_EXCHANGE,LAST_CRSP_ADJ_DATE,CURRENCY
NCHGF,,BBG000FC9SG8,BBG000FC9RX1,NCHGF:US,Nichii Gakkan Co.,Equity,,,,JPY
NCHNF,,BBG000BM5HH7,,NCHNF:US,Nichicon Corporation,Equity,Ordinary Shares,,,USD
NCHOF,,BBG000BM5RG6,BBG000BM5RG6,NCHOF:US,Nippon Chemi-Con Corporation,Equity,,,,USD
NCI,NCI:UN,BBG000KQCY92,BBG000KQCVL4,NCI:US,"Navigant Consulting, Inc.",Equity,Ordinary Shares,NYSE,1998-04-01,USD
NCIT,NCIT:UW,BBG000G5S0C6,BBG000G5QK25,NCIT:US,"NCI, Inc.",Equity,Ordinary Shares - Class A,NASDAQ,2015-02-23,USD
NCK,,BBG000N7LNK2,BBG000N7LN59,NCK:US,Nick Scali,Equity,,,,AUD
NCKLF,,BBG0014J5X30,BBG0014J5X30,NCKLF:US,NuCoal Resources Limited,Equity,Ordinary Shares,,,USD
NCL,NCL:UN,BBG000BB9BH0,BBG000BB98D1,NCL:US,Nuveen Insured California Premium Income Municipal Fund 2,,Ordinary Shares,NYSE,,USD
NCLH,NCLH:UN,BBG001WVB331,BBG000BSRN78,NCLH:US,Norwegian Cruise Line Holdings Ltd,Equity,Ordinary Shares,NYSE,,USD
NCLI,,BBG000BD1LD6,BBG000BD1LD6,NCLI:US,North Coast Life Insurance Co.,Equity,Ordinary Shares,,,USD
NCLIP,NCLIP:UW,BBG000005YG1,,NCLIP:US,North Coast Life Insurance Co.,Pfd,PRF PERPETUAL USD,NASDAQ,,USD
NCLPF,,BBG006WSHFT6,BBG006WSHFT6,NCLPF:US,Hayward Tyler Group Plc,Equity,Ordinary Shares,,,USD
