RESULT_COUNT: 9997,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
A,A:UN,BBG000C2V541,2018-03-12,71.2,71.53,70.67,70.74,1858454.0,0.0,1.0,71.2,71.53,70.67,70.74,1858454.0
AA,AA:UN,BBG00B3T3HK5,2018-03-12,48.01,48.68,47.91,48.395,1489351.0,0.0,1.0,48.01,48.68,47.91,48.395,1489351.0
AAC,AAC:UN,BBG006T1NZ63,2018-03-12,12.0,12.42,11.97,12.25,302768.0,0.0,1.0,12.0,12.42,11.97,12.25,302768.0
AADR,AADR:UN,BBG000BDYVZ4,2018-03-12,61.81,62.39,61.81,62.17,45526.0,0.0,1.0,61.81,62.39,61.81,62.17,45526.0
AAL,AAL:UW,BBG005P7Q8V5,2018-03-12,56.26,56.97,55.63,56.5,3177925.0,0.0,1.0,56.26,56.97,55.63,56.5,3177925.0
AAMC,AAMC:UN,BBG003Q1GJL0,2018-03-12,67.0,67.0,63.9,63.9,2289.0,0.0,1.0,67.0,67.0,63.9,63.9,2289.0
AAME,AAME:UW,BBG000B9XDQ4,2018-03-12,3.425,3.5,3.35,3.425,3280.0,0.0,1.0,3.425,3.5,3.35,3.425,3280.0
AAN,AAN:UN,BBG000D9VBX0,2018-03-12,48.21,49.41,48.21,48.89,712479.0,0.0,1.0,48.21,49.41,48.21,48.89,712479.0
AAOI,AAOI:UW,BBG00564XQN4,2018-03-12,30.0,31.9699,29.93,30.95,3291695.0,0.0,1.0,30.0,31.9699,29.93,30.95,3291695.0
AAON,AAON:UW,BBG000C2M952,2018-03-12,37.95,38.5,37.124,38.2,265658.0,0.0,1.0,37.95,38.5,37.124,38.2,265658.0
AAP,AAP:UN,BBG000F7RFH6,2018-03-12,118.56,119.25,117.21,118.41,802804.0,0.0,1.0,118.56,119.25,117.21,118.41,802804.0
AAPL,AAPL:UW,BBG000B9Y5X2,2018-03-12,180.29,182.39,180.21,181.72,32055405.0,0.0,1.0,180.29,182.39,180.21,181.72,32055405.0
AAT,AAT:UN,BBG00161BCW4,2018-03-12,32.39,32.805,32.28,32.68,855448.0,0.0,1.0,32.39,32.805,32.28,32.68,855448.0
AAU,AAU:UN,BBG000DGFTB7,2018-03-12,0.85,0.8701,0.8401,0.87,164497.0,0.0,1.0,0.85,0.8701,0.8401,0.87,164497.0
AAV,AAV:UN,BBG000C5R1K0,2018-03-12,2.9,2.95,2.8,2.9,361665.0,0.0,1.0,2.9,2.95,2.8,2.9,361665.0
AAWW,AAWW:UW,BBG000Q58769,2018-03-12,60.85,62.55,60.7,61.3,201427.0,0.0,1.0,60.85,62.55,60.7,61.3,201427.0
AAXJ,AAXJ:UW,BBG000G6J356,2018-03-12,79.71,79.9338,79.4352,79.78,500164.0,0.0,1.0,79.71,79.9338,79.4352,79.78,500164.0
AB,AB:UN,BBG000B9WPQ8,2018-03-12,27.2,27.3,27.05,27.1,229374.0,0.0,1.0,27.2,27.3,27.05,27.1,229374.0
ABAC,ABAC:UW,BBG000BDZNX3,2018-03-12,2.45,2.465,2.45,2.465,3041.0,0.0,1.0,2.45,2.465,2.45,2.465,3041.0
ABAX,ABAX:UW,BBG000CP68R7,2018-03-12,71.7,74.375,71.7,74.12,131048.0,0.0,1.0,71.7,74.375,71.7,74.12,131048.0
ABB,ABB:UN,BBG000DK5SY6,2018-03-12,24.42,24.51,24.31,24.46,2168602.0,0.0,1.0,24.42,24.51,24.31,24.46,2168602.0
ABBV,ABBV:UN,BBG003P7K0B5,2018-03-12,119.4,119.59,117.93,118.3,4692909.0,0.0,1.0,119.4,119.59,117.93,118.3,4692909.0
ABC,ABC:UN,BBG000MDCSN6,2018-03-12,99.21,101.02,98.9698,100.29,1586177.0,0.0,1.0,99.21,101.02,98.9698,100.29,1586177.0
ABCB,ABCB:UW,BBG000CDYGZ6,2018-03-12,58.0,59.05,56.825,57.4,209958.0,0.0,1.0,58.0,59.05,56.825,57.4,209958.0
ABCD,ABCD:UW,BBG000Q05ST2,2018-03-12,9.18,9.32,8.5,9.16,396810.0,0.0,1.0,9.18,9.32,8.5,9.16,396810.0
ABDC,ABDC:UW,BBG0064VDPM9,2018-03-12,7.69,7.84,7.61,7.72,86852.0,0.0,1.0,7.69,7.84,7.61,7.72,86852.0
ABEO,ABEO:UW,BBG000DT5MQ9,2018-03-12,15.25,16.05,15.21,15.85,846695.0,0.0,1.0,15.25,16.05,15.21,15.85,846695.0
ABEOW,ABEOW:UW,,2018-03-12,10.5,11.42,10.831,11.42,4444.0,0.0,1.0,10.5,11.42,10.831,11.42,4444.0
ABEV,ABEV:UN,BBG000BN5XM4,2018-03-12,7.18,7.35,7.16,7.3,29105659.0,0.0,1.0,7.18,7.35,7.16,7.3,29105659.0
ABG,ABG:UN,BBG000BKDXS5,2018-03-12,69.75,70.0,68.5,68.75,174005.0,0.0,1.0,69.75,70.0,68.5,68.75,174005.0
ABIO,ABIO:UW,BBG000BWNWC7,2018-03-12,0.65,0.65,0.61,0.63,586229.0,0.0,1.0,0.65,0.65,0.61,0.63,586229.0
ABM,ABM:UN,BBG000B9Z0B6,2018-03-12,37.67,38.36,37.67,38.02,655774.0,0.0,1.0,37.67,38.36,37.67,38.02,655774.0
ABMD,ABMD:UW,BBG000C10C06,2018-03-12,295.65,304.2802,290.5301,294.74,318273.0,0.0,1.0,295.65,304.2802,290.5301,294.74,318273.0
ABR,ABR:UN,BBG000KMVGS8,2018-03-12,8.75,8.86,8.73,8.85,1146082.0,0.0,1.0,8.75,8.86,8.73,8.85,1146082.0
ABR$A,ABR$A:UN,,2018-03-12,25.271,25.3799,25.27,25.3799,1001.0,0.0,1.0,25.271,25.3799,25.27,25.3799,1001.0
ABR$B,ABR$B:UN,,2018-03-12,25.14,25.15,25.14,25.14,1566.0,0.0,1.0,25.14,25.15,25.14,25.14,1566.0
ABR$C,ABR$C:UN,,2018-03-12,25.9213,25.9213,25.66,25.66,978.0,0.0,1.0,25.9213,25.9213,25.66,25.66,978.0
ABRN,ABRN:UN,,2018-03-12,25.3,25.33,25.26,25.28,18153.0,0.0,1.0,25.3,25.33,25.26,25.28,18153.0
ABT,ABT:UN,BBG000B9ZZG4,2018-03-12,63.59,63.95,63.415,63.62,7680973.0,0.0,1.0,63.59,63.95,63.415,63.62,7680973.0
