RESULT_COUNT: 140,API_CALL_CREDITS: 140
IDENTIFIER,TICKER,BUSINESS_ADDRESS,BUSINESS_PHONE_NO,COMPANY_URL,CEO,COUNTRY,STATE,INDUSTRY_CATEGORY,SECTOR,BETA,LONG_DESCRIPTION,CIK,STOCK_EXCHANGE,FIGI
TBRG,TBRG,"9912 GEORGETOWN PIKE, SUITE D203, GREAT FALLS, VA 22066",7037592502,N/A,N/A,United States of America,Virginia,nm,nm,-0.0513,N/A,0001720592,nm,BBG00LFVTBM8
TBSI,na,na,na,na,na,na,na,na,na,1.8683,na,na,na,BBG000C02WT1
TBUS,na,na,na,na,na,na,na,na,na,0.5812,na,na,na,BBG000DNRYX4
TCDA,TCDA,"7000 SHORELINE COURT, SUITE 201, SOUTH SAN FRANCISCO, CA 94080",415-429-7800,N/A,N/A,United States of America,California,nm,nm,1.5625,N/A,0001595585,nm,BBG00L2YBJM8
TCF,TCF,"200 LAKE STREET EAST,  WAYZATA, MN 55391-1693",952-745-2760,https://www.tcfbank.com,Craig R. Dahl,United States of America,Wayzata,nm,nm,1.3245,"TCF provides convenient financial services through multiple channels in its primary banking markets. TCF has developed products and services designed to meet the specific needs of the largest consumer segments in the market. The Company focuses on attracting and retaining customers through service and convenience, including select locations open seven days a week with extended hours and on most holidays, full-service supermarket branches, access to automated teller machine (""ATM"") networks and digital banking channels. TCF's philosophy is to generate interest income, fees and other revenue growth through business lines that emphasize higher yielding assets and low interest cost deposits. TCF's growth strategies include organic growth in existing businesses, development of new products and services, new customer acquisition and acquisitions of portfolios or businesses. New products and services are designed to build on existing businesses and expand into complementary products and services through strategic initiatives. Funded generally through retail deposit generation, TCF continues to focus on profitable asset growth. The Company's reportable segments are Consumer Banking, Wholesale Banking and Enterprise Services. See ""Item 7. Management's Discussion and Analysis of Financial Condition and Results of Operations (""Management's Discussion and Analysis"") - Results of Operations - Reportable Segment Results"" and Note 24. Business Segments of Notes to Consolidated Financial Statements for information regarding net income (loss), assets and revenues for each of TCF's reportable segments.",000081418,nm,BBG000C0NZZ4
TCFC,TCFC,"3035 LEONARDTOWN RD, P O BOX 38, WALDORF, MD 20601",3016455601,www.cbtc.com,William J. Pasenelli,United States of America,Maryland,Banking,Financial,0.2416,"The Community Financial Corporation operates as the bank holding company for Community Bank of the Chesapeake, a state chartered bank that provides commercial and retail banking services to individual and corporate clients. The company's deposit products include savings, money market, demand deposit, IRA, SEP, and time deposit accounts. It also provides loan products comprising commercial real estate and other non-residential real estate, residential first mortgage, residential rental mortgage, construction and land development, home equity and second mortgage, commercial, consumer, and commercial equipment loans. In addition, the company offers brokerage, cash management, safe deposit boxes, night depositories, cash vaults, automated clearinghouse transactions, wire transfers, automated teller machine (ATMs), online and telephone banking, retail and business mobile banking, remote deposit capture, merchant card services, investment services, positive pay, payroll services, account reconciliation, bill pay, credit cards, lockboxes, and tax deferred retirement programs. It serves clients through its main office and operations center in Waldorf, Maryland; and 11 branch offices in Lexington Park, Leonardtown, La Plata, Dunkirk, Bryans Road, Waldorf, Charlotte Hall, Prince Frederick California, and Lusby, Maryland, as well as Central Park and downtown Fredericksburg, Virginia. The Community Financial Corporation also operates five loan production offices in Maryland and Virginia. The company was formerly known as Tri-County Financial Corporation and changed its name to The Community Financial Corporation in October 2013. The Community Financial Corporation was founded in 1950 and is headquartered in Waldorf, Maryland.",0000855874,NasdaqCM,BBG000BBFFS2
TCL,na,na,na,na,na,na,na,na,na,0.0382,na,na,na,""
TCX,TCX,"96 MOWAT AVENUE, TORONTO, CANADA M6K 3M1",4165385478,www.tucowsinc.com,Elliot Noss,Canada,Ontario,Internet,Technology,1.1328,"Tucows Inc. provides network access, domain name registration, email, mobile telephony, and other Internet services in the United States, Canada, and Germany. It operates in two segments, Network Access Services and Domain Services. The Network Access Services segment offers mobile and fixed high-speed Internet access services under the Ting brand, and Internet hosting and network consulting services. The Domain Services segment provides OpenSRS domain service that offers services related to the registration, renewal, transfer, and management of domain names; OpenSRS value-added services, such as hosted email service that provides email delivery and Webmail access to various mailboxes; SSL certificates; Internet security services; publishing tools; and reseller billing services. This segment also offers Platypus billing software, which provides billing, provisioning, and customer care software solutions to Internet service providers (ISPs); Internet domain name registration and email services to individuals and small businesses through its hover.com Website; and banner and text advertising services through its tucows.com Website. Tucows Inc. offers its services through an Internet-based distribution network of ISPs, Web hosting companies, and other providers of Internet services to end-users. The company was formerly known as Infonautics, Inc. and changed its name to Tucows Inc. in August 2001. Tucows Inc. was founded in 1992 and is headquartered in Toronto, Canada.",0000909494,NasdaqCM,BBG000L69LG9
TDAC,na,na,na,na,na,na,na,na,na,0.0154,na,na,na,BBG00KDH03W1
TDBK,TDBK,nm,nm,nm,nm,United States of America,South Carolina,Banking,Financial,0.3363,N/A,0001178409,OTC,BBG000QKRBD8
