RESULT_COUNT: 144,API_CALL_CREDITS: 144,MISSING_ACCESS_CODES: com_fin_data
IDENTIFIER,TICKER,BUSINESS_ADDRESS,BUSINESS_PHONE_NO,COMPANY_URL,CEO,COUNTRY,STATE,INDUSTRY_CATEGORY,SECTOR,BETA,LONG_DESCRIPTION,CIK
MLR,MLR,"8503 HILLTOP DR, STE 100, OOLTEWAH, TN 37363",4232384171,www.millerind.com,Jeffrey I. Badgley,United States of America,Tennessee,Automotive,Consumer Goods,na,"Miller Industries, Inc., together with its subsidiaries, engages in the manufacture and sale of towing and recovery equipment. It offers wreckers, such as conventional tow trucks and recovery vehicles used to recover and tow disabled vehicles and other equipment; and car carriers, which are specialized flat-bed vehicles with hydraulic tilt mechanisms that are used to transport new or disabled vehicles and other equipment. The company also provides transport trailers for moving multiple vehicles, auto auctions, car dealerships, leasing companies, and other related applications. It markets its products under the Century, Vulcan, Challenger, Holmes, Champion, Chevron, Eagle, Titan, Jige, and Boniface brand names. The company sells its products through independent distributors in the United States, Canada, Mexico, Europe, the Pacific Rim, the Middle East, South America, and Africa; and through prime contractors to governmental entities. Miller Industries, Inc. was founded in 1990 and is based in Ooltewah, Tennessee.",0000924822
MLVF,MLVF,"42 EAST LANCASTER AVENUE, PAOLI, PA 19301",610-644-9400,www.malvernfederal.com,Anthony C. Weagley,United States of America,Pennsylvania,Banking,Financial,na,"Malvern Bancorp, Inc. operates as the holding company for Malvern Federal Savings Bank that provides various banking products and services to consumer and business customers in Pennsylvania. The company offers checking accounts, retirement accounts, money market accounts, time and savings accounts, interest and non-interest bearing accounts, NOW accounts, and CDARS/ICS reciprocal deposits; and debit and credit card, wire transfer, automated teller, Internet banking, ACH origination, safe deposit box, telephone banking, and mobile banking services. It also provides residential mortgage loans, such as one class and one-to four-family first lien residential mortgage loans; residential and commercial construction loans, and land loans; commercial loans, including commercial real estate loans, multi-family real estate loans, industrial loans, and commercial business loans; and consumer loans, such as home equity lines of credit, second mortgage loans, and unsecured consumer lines of credit. In addition, the company offers liquidity management, investment, custody, wealth planning, trust and fiduciary, insurance, and 401k services to high net worth individuals and families. Further, it provides remote deposit capture banking for business customers; and mobile remote deposit capture banking for retail and business customers. The company operates eight financial center offices in Chester and Delaware Counties, Pennsylvania, as well as a private banking loan production office in Morristown, New Jersey. Malvern Bancorp, Inc. was founded in 1887 and is headquartered in Paoli, Pennsylvania.",0001550603
MM,MM,"2400 BOSTON STREET, SUITE 301, Baltimore, MD 21224",(410) 552-8705,http://www.millennialmedia.com,Michael G. Barrett,United States of America,Maryland,nm,nm,na,"Millennial Media, Inc. provides mobile advertising solutions to advertisers and developers in the United States and internationally. It offers advertisers the opportunity to reach and engage with their targeted audiences across mobile devices and screens; solutions that enables advertisers to gain insights into the performance of their ad campaigns and to manage their campaigns; and cross-screen device map that allows to associate a single user with multiple online and mobile devices. The companys solutions for advertisers also include mmDSP, a demand side platform that accesses inventory directly from developers through its ad exchange; and mmStudio solution, which enables advertisers and advertising agencies to design ads using a set of templates. It also provides solutions for developers, including software development kits that allow apps to receive various kinds of ads, including video, interactive rich media, banner display, and native ad formats; and ad serving capabilities, mediation tools, and access to its ad exchange, which allow developers to allocate ad requests among various advertising campaign sources. The companys solutions for developers also comprise reporting and analytics that include ad revenue generation reports for their apps across various mobile operating systems; and support services. In addition, it operates MYDAS, a mobile advertising technology that identifies unique users; targets ads based on user interest, behavior, and location; delivers ads to users; runs on various device types; ensures that the ads would work over wireless connections; and measures user engagement and ad performance. The company was founded in 2006 and is headquartered in Baltimore, Maryland.",0001372375
MMC,MMC,"1166 AVENUE OF THE AMERICAS, NEW YORK, NY 10036",2123455000,www.mmc.com,Daniel S. Glaser,United States of America,New York,Insurance,Financial,na,"Marsh & McLennan Companies, Inc., a professional services firm, provides advice and solutions in the areas of risk, strategy, and people worldwide. It operates through two segments, Risk and Insurance Services; and Consulting. The Risk and Insurance Services segment offers risk management services, such as risk advice, risk transfer, risk control, and mitigation solutions, as well as insurance, reinsurance broking, catastrophe and financial modeling services, and related advisory services. This segment serves businesses, public entities, insurance companies, associations, professional services organizations, and private clients. The Consulting segment provides health, retirement, talent, and investments consulting services and products; and specialized management, and economic and brand consulting services. This segment assists public and private sector employers in the design, management, and administration of employee health care programs; provides a range of strategic and compliance-related retirement services and solutions to corporate, governmental, and institutional clients; advises organizations on the engagement, management, and rewarding of employees; and offers investment consulting and other services to the sponsors of pension funds, foundations, endowments, other investors, and wealth management companies. Marsh & McLennan Companies, Inc. was founded in 1871 and is headquartered in New York, New York.",0000062709
MMDM,MMDM,"1180 PEACHTREE STREET, N.E., SUITE 2400, ATLANTA, GA 30309",(404) 443-1182,nm,nm,United States of America,Georgia,nm,nm,na,N/A,0001695098
MMI,MMI,"23975 PARK SORRENTO, SUITE 400, CALABASAS, CA 91302",818-212-2250,www.marcusmillichap.com,Hessam Nadji,United States of America,California,Real Estate,Financial,na,"Marcus & Millichap, Inc., a brokerage company, provides investment brokerage and financing services to sellers and buyers of various commercial real estate assets in the United States and Canada. The company offers commercial real estate investment sales, financing, research, and advisory services for multifamily, retail, office, and industrial properties, as well as hospitality, self-storage, seniors housing, land, and manufactured housing properties. It also operates as a broker of debt financing for commercial properties. In addition, the company provides various ancillary services, including research, as well as advisory and consulting services to developers, lenders, owners, real estate investment trusts, high net worth individuals, pension fund advisors, and other institutions. The company was founded in 1971 and is headquartered in Calabasas, California. Marcus & Millichap, Inc. is a subsidiary of Phoenix Investments Holdings LLC.",0001578732
MMM,MMM,"3M CENTER, BLDG. 220-11W-02, ST PAUL, MN 55144-1000",6517332204,www.3m.com,Inge G. Thulin,United States of America,Minnesota,Manufacturing,Industrial Goods,na,"3M Company operates as a diversified technology company worldwide. The company's Industrial segment offers tapes; coated, non-woven, and bonded abrasives; adhesives; advanced ceramics; sealants; specialty materials; separation and purification products; closure systems for personal hygiene products; acoustic systems products; automotive components; and abrasion-resistant films, and paint finishing and detailing products. Its Safety and Graphics Business segment provides personal protection products, traffic safety and security products, commercial graphics systems, commercial cleaning and protection products, floor matting, roofing granules for asphalt shingles, and fall protection products. The company's Health Care segment offers medical and surgical supplies, skin health and infection prevention products, inhalation and transdermal drug delivery systems, dental and orthodontic products, health information systems, and food safety products. Its Electronics and Energy segment provides optical films; packaging and interconnection devices; insulating and splicing solutions; touch screens and touch monitors; renewable energy component solutions; and infrastructure protection products. The company's Consumer segment offers sponges, scouring pads, high-performance cloths, repositionable notes, indexing systems, home improvement and care products, protective materials, and consumer and office tapes and adhesives. The company serves automotive, electronics and energy, appliance, paper and printing, packaging, food and beverage, construction, medical clinics and hospitals, pharmaceuticals, dental and orthodontic practitioners, health information systems, food manufacturing and testing, consumer and office retail, office business to business, home improvement, drug and pharmacy retail, and other markets directly, as well as through wholesalers, retailers, jobbers, distributors, and dealers. The company was founded in 1902 and is headquartered in St. Paul, Minnesota.",0000066740
MMP,MMP,"ONE WILLIAMS CENTER, MD 28-1, TULSA, OK 74172",918 574 7000,www.magellanlp.com,Michael N. Mears,United States of America,Oklahoma,Energy,Basic Materials,na,"Magellan Midstream Partners, L.P. engages in the transportation, storage, and distribution of refined petroleum products and crude oil in the United States. The company operates through Refined Products, Crude Oil, and Marine Storage segments. It operates refined products pipeline that transports gasoline, distillates, aviation fuels, and liquefied petroleum gases for independent and integrated oil companies, wholesalers, retailers, traders, railroads, airlines, and regional farm cooperatives; and provides services, including terminalling, ethanol and biodiesel unloading and loading, additive injection, custom blending, laboratory testing, and data services. The company also owns and operates crude oil pipelines and storage facilities; and marine terminals located along coastal waterways that provide distribution, storage, blending, inventory management, and additive injection services for refiners, marketers, traders, and other end users of petroleum products. As of December 31, 2016, it had 9,700-mile refined products pipeline system with 53 terminals, as well as 26 independent terminals; 1,100-mile ammonia pipeline system; approximately 2,200 miles of crude oil pipelines and storage facilities with an aggregate storage capacity of approximately 22 million barrels; and 5 marine terminals located along coastal waterways with an aggregate storage capacity of approximately 26 million barrels. The company serves as the general partner of Magellan GP, LLC. Magellan Midstream Partners, L.P. was founded in 2000 and is headquartered in Tulsa, Oklahoma.",0001126975
MMR,na,na,na,na,na,na,na,na,na,na,na,na
MMS,MMS,"ATTN: TREASURY DEPT., 1891 METRO CENTER DRIVE, RESTON, VA 20190",7032518500,www.maximus.com,Richard A. Montoni,United States of America,Virginia,Diversified Services,Services,na,"MAXIMUS, Inc. provides business process services (BPS) to government health and human services programs in the United States, the United Kingdom, Australia, Canada, and Saudi Arabia. The company's Health Services segment offers various BPS, appeals, and assessments, as well as related consulting services for state, provincial, and national government programs comprising Medicaid, Children's Health Insurance Program, the Affordable Care Act, Health Insurance British Columbia, the Health Assessment Advisory Service, and Fit for Work Service. Its services include health insurance exchange customer contact center operations and support; health insurance program eligibility and enrollment; beneficiary outreach and education; application assistance and independent health plan enrollment counseling; premium payment processing and administration; health plan oversight; eHealth solutions with the Medigent product suite; independent disability, long-term sick, and health assessments; occupational health clinical assessments; and specialized program consulting services. The company's U.S. Federal Services segment offers services, including centralized customer contact centers and support services; documents and records management; and case management, citizen engagement, and consumer education; independent medical reviews and worker's compensation benefit appeals; health benefit appeals; eligibility appeals; modernization of systems and IT infrastructure; infrastructure operations and support; software development, operations, and management; and data analytics. Its Human Services Segment provides national, state, and local human services agencies with various BPS and related consulting services for welfare-to-work, child support, higher education, and K-12 special education programs; and management tools and professional consulting, program consulting, and tax credit and employer services. MAXIMUS, Inc. was founded in 1975 and is headquartered in Reston, Virginia.",0001032220
