RESULT_COUNT: 150,API_CALL_CREDITS: 150,MISSING_ACCESS_CODES: com_fin_data
IDENTIFIER,TICKER,NAME,SECURITY_TYPE,BUSINESS_ADDRESS,BUSINESS_PHONE_NO,COMPANY_URL,CEO,COUNTRY,STATE,INDUSTRY_CATEGORY,SECTOR,STOCK_EXCHANGE,BETA,LONG_DESCRIPTION,CIK
EVC,EVC,Entravision Communications Corp,Ordinary Shares - Class A,"2425 OLYMPIC BLVD, STE 6000 WEST, SANTA MONICA, CA 90404",3104473870,www.entravision.com,Walter F. Ulloa,United States of America,California,Media,Services,NYSE,na,"Entravision Communications Corporation operates as a media company that reaches and engages Hispanics across media channels and advertising platforms in the United States and certain border markets of Mexico. The company operates through three segments: Television Broadcasting, Radio Broadcasting, and Digital Media. It owns and operates television stations that broadcast drama shows, talk shows, novelas, entertainment magazines, news magazines, national news, specials, late news, children's programs, sports, reality, comedy shows, and movies. The company also owns and operates radio stations that broadcast advertising, news, traffic, weather, promotions, and community events. In addition, it operates a proprietary technology and data platform that delivers digital advertising solutions in various advertising formats. As of December 31, 2016, the company owned and/or operated 54 primary television stations located primarily in California, Colorado, Connecticut, Florida, Kansas, Massachusetts, Nevada, New Mexico, Texas, and Washington, D.C.; and 49 operational radio stations consisting of 38 FM and 11 AM in 18 markets located primarily in Arizona, California, Colorado, Florida, Nevada, New Mexico, and Texas. Entravision Communications Corporation was founded in 1996 and is headquartered in Santa Monica, California.",0001109116
EVCA,EVCA,"EVCARCO, INC.",Ordinary Shares,"7703 SAND STREET, FORT WORTH, TX 76118",(817) 595-0710,nm,nm,United States of America,Texas,nm,nm,OTC,na,N/A,0001459003
EVCC,EVCC,Environmental Control Corp,Ordinary Shares,"85 KENMOUNT ROAD, ST. JOHN'S, CANADA A1B 3N7",888-669-3588,nm,nm,Canada,Newfoundland,nm,nm,OTC,na,N/A,0001284454
EVCI,EVCI,EVCI Career Colleges Holding Corp,Ordinary Shares,"1 VAN DER DONCK STREET, SECOND FLOOR, YONKERS, NY 10701",9147873500,nm,nm,United States of America,New York,nm,nm,OTC,na,N/A,0001065591
EVDY,EVDY,Everyday Health Inc,Ordinary Shares,"345 HUDSON STREET, 16TH FLOOR, NEW YORK, NY 10014",718-797-0722,http://www.everydayhealth.com,Benjamin Wolin,United States of America,New York,nm,nm,NYSE,na,"Everyday Health, Inc. operates digital marketing and communications platform for healthcare marketers primarily in the United States. It designs its health content for consumers and healthcare professionals to access anytime and anywhere and to be distributed across various platforms comprising online content, interactive tools, and applications. The company also enables consumers to manage their daily health and wellness needs; healthcare professionals to stay informed and make decisions for their patients; and marketers, health payers, and providers to communicate and engage with consumers and healthcare professionals to drive health outcomes. It delivers its content and solutions through various channels, including desktop, mobile Web, and mobile phone and tablet applications, as well as video and social media. The company operates Everyday Health, What to Expect brand, Mayo Clinic Diet, MedPage Today, My Calorie Counter brands. It serves pharmaceutical companies, manufacturers and retailers of over-the-counter products, consumer-packaged-goods, and healthcare providers, as well as approximately 350 hospitals in 30 states. The company was formerly known as Waterfront Media Inc. and changed its name to Everyday Health, Inc. in January 2010. Everyday Health, Inc. was founded in 2002 and is headquartered in New York, New York.",0001358483
EVEIQ,EVEIQ,EVERGREEN ENERGY INC,Ordinary Shares,"1225 17TH STREET, SUITE 1300, DENVER, CO 80202",3032932992,nm,nm,United States of America,Colorado,nm,nm,OTC,na,N/A,0000912365
EVEP,EVEP,EV Energy Partners LP,Unit,"1001 FANNIN, SUITE 800, HOUSTON, TX 77002",713-659-3500,www.evenergypartners.com,Michael E. Mercer,United States of America,Texas,Energy,Basic Materials,NasdaqGS,na,"EV Energy Partners, L.P. engages in the acquisition, development, and production of oil and natural gas properties in the United States. Its properties are located in the Barnett Shale; the San Juan Basin; the Appalachian Basin; Michigan; Central Texas; the Monroe Field in Northern Louisiana; the MidContinent areas in Oklahoma, Texas, Arkansas, Kansas, and Louisiana; and the Permian Basin. As of December 31, 2016, the company had estimated net proved reserves of 12.6 million barrels of oil; 575.3 billion cubic feet of natural gas; and 33.4 million barrels of natural gas liquids. EV Energy GP, L.P. serves as the general partner of EV Energy Partners, L.P. EV Energy Partners, L.P. was founded in 2006 and is based in Houston, Texas.",0001361937
EVER,EVER,EverBank Financial Corp,Ordinary Shares,"501 RIVERSIDE AVENUE, 12TH FLOOR, JACKSONVILLE, FL 32202",(904) 281-6000,www.everbank.com,Robert M. Clements,United States of America,Florida,Banking,Financial,NYSE,na,"EverBank Financial Corp, a savings and loan holding company, provides a range of financial products and services to individuals, and small and mid-size businesses in the United States. The company operates through Consumer Banking and Commercial Banking. It accepts deposit products, including noninterest-bearing and interest-bearing demand deposits, savings and money market accounts, and time deposits. The company's loan products portfolio comprises residential mortgage loans, mortgage warehouse finance, lender finance, asset-based lending, owner-occupied and non-owner occupied commercial real estate, and commercial and industrial loans; equipment financing receivables; home equity lines; and personal loans, credit card loans and lines of credit, and automobile and other loans. It also provides financial advisory, planning, brokerage, and other wealth management services. The company offers its products and services through integrated online and mobile financial portal, and financial centers. EverBank Financial Corp was incorporated in 2004 and is headquartered in Jacksonville, Florida.",0001502749
EVF,EVF,Eaton Vance Senior Income Trust,Ordinary Shares,nm,617-482-8260,http://www.eatonvance.com,N/A,nm,nm,Financial Services,Financial,NYSE,na,"Eaton Vance Senior Income Trust is a closed-ended fixed income mutual fund launched and managed by Eaton Vance Management. The fund invests in the fixed income markets of the United States. It seeks to invest in the securities of companies operating across the diversified sectors. The fund primarily invests in senior secured floating rate loans. It benchmarks the performance of its portfolio against the S&P/LSTA Leveraged Loan Index. Eaton Vance Senior Income Trust was formed on October 30, 1998 and is domiciled in the United States.",0001070732
EVGBC,EVGBC,Eaton Vance Global Income Builder NextShares,Exchange Traded Fund,nm,nm,N/A,N/A,nm,nm,nm,nm,NasdaqGM,na,"The fundâs investment objective is to achieve total return for its shareholders.
 The fund seeks to invest in common stocks, preferred stocks and other hybrid securities and fixed and floating-rate income instruments (âincome instrumentsâ) of U.S. and foreign issuers. Under normal market conditions, the fund will invest (i) at least 30% of its net assets in securities issued by issuers located outside of the United States, which may include emerging market countries; and (ii) in issuers located in at least five different countries (including the United States).",nm
