Symbol	Name	Sector	Industry	PE	EPS	DivYield	Shares	DPS	PEG	PtS	PtB
AAAP	Advanced Accele. Ads			0	-1.18	0	44164040	0	0	20.46	8.85
AABA	Altaba Inc			0	4.58	0	959271300	0	0	0	0
AAL	American Airlines Gp			11.81	4.03	0.82	486963800	0.4	4.77	0.58	6.38
AAME	Atlantic Amer Cp	Finance	Life Insurance	30.97	0.11	0.57	20462860	0.02	0	0.39	0.62
AAOI	Applied Optoelect			9.33	4.21	0	19303030	0	0.47	2.03	2.41
AAON	Aaon Inc	Capital Goods	Industrial Machinery/Components	36.25	0.96	0.75	52586210	0.26	2.93	4.76	8.4
AAPL	Apple Inc	Technology	Computer Manufacturing	18.51	8.81	1.6	5165225000	2.52	1.41	3.64	6.15
AAWW	Atlas Air Ww	Transportation	Transportation Services	26.6	2.34	0	25220880	0	1.04	0.81	1
AAXJ	Ishares Aca X-Japan ETF			0	0	0	0	0	0	0	0
AAXN	Axon Inc			71.62	0.32	0	52792320	0	3.12	3.79	7.25
ABAC	Aoxin Tianli Grp			0	-0.28	0	7983812	0	0	0.9718	0.3146
ABAX	Abaxis Inc	Capital Goods	Industrial Machinery/Components	34.83	1.42	1.3	22708840	0.64	25.81	4.89	4.1
ABCB	Ameris Bancorp	Finance	Major Banks	20.96	2.33	0.82	37090160	0.4	2.47	5.38	2.33
ABCD	Cambium Learning Grp	Consumer Services	Publishing	18.59	0.32	0	46282350	0	0	1.83	0
ABDC	Alcentra Capital Com			0	0.41	10.18	0	1.36	0	0	0
ABEO	Abeona Therapeutics			0	-0.61	0	40287280	0	0	831.55	7.87
ABEOW	Abeona Thera Wts			0	0	0	0	0	0	0	0
ABIL	Ability Inc			0	-0.44	0	25758060	0	0	1.72	4.75
ABIO	Arca Biopharma Inc	Health Care	Biotechnology: In Vitro & In Vivo Diagnostic Substances	0	-2.05	0	11746150	0	0	0	0.92
ABLX	Ablynx Nv			0	0	0	0	0	0	0	0
ABMD	Abiomed Inc	Health Care	Medical/Dental Instruments	105.89	1.71	0	44126580	0	2.75	16.68	13.96
ABTX	Allegiance Banc CS			22.89	1.71	0	13160920	0	0	5.45	1.72
ABUS	Arbutus Biopharma Cp			0	-5.07	0	55026450	0	0	164.81	1.74
ACAD	Acadia Pharmaceutica	Consumer Durables	Major Pharmaceuticals	0	-2.53	0	122431500	0	-0.41	67.33	10.21
ACBI	Atlantic Capital			34.43	0.5	0	25660870	0	0	4.94	1.4
ACER	Acer Therapeutics Inc			0	-3.75	0	739255	0	0	0	0
ACERW	Acer Therapeutics Inc WT			0	0	0	0	0	0	0	0
ACET	Aceto Cp	Consumer Durables	Specialty Chemicals	29.94	0.35	2.41	30108780	0.26	0.84	0.51	0.8
ACFC	Atlantic Coast Finl	Finance	Savings Institutions	22.47	0.4	0	15489430	0	0	3.98	1.54
ACGL	Arch Capital Grp Ltd	Finance	Property-Casualty Insurers	18.14	5.5	0	134490000	0	2.37	2.75	1.77
ACGLO	Arch Capital Group Ltd ADR			0	5.5	0	0	0	0	0	0
ACGLP	Arch Capital Group Ltd			4.5162	5.498	5.53	134514200	1.37	0	0.6792	0.4369
ACHC	Acadia Healthcr Co	Healthcare	Specialized Health Services	365.38	0.09	0	87819550	0	1.19	1.01	1.19
ACHN	Achillion Pharmaceut	Consumer Durables	Major Pharmaceuticals	0	-0.5	0	136760800	0	-0.32	33.83	1.4
ACHV	Achieve Life Sciences Inc			0	-56.38	0	10946860	0	0	0	0
ACIA	Acacia Communica			14.02	2.92	0	39277870	0	56.63	3.49	3.35
ACIU	AC Immune S.A.			0	-0.68	0	57048070	0	0	110.92	5.07
ACIW	Aci Worldwide Inc	Technology	Computer Software: Prepackaged Software	113.89	0.22	0	118292700	0	3.92	2.8	3.81
ACLS	Axcelis Tech Inc	Technology	Industrial Machinery/Components	34.66	0.93	0	31269350	0	1.28	3.09	4.2
ACMR	Acm Research Inc	Consumer Services	Recreational Products/Toys	0	-1.351	0	24716980	0	0	0.09	0.38
ACNB	Acnb Corp	Finance	Major Banks	16.12	1.76	2.85	7015114	0.8	0	3.87	1.38
ACOR	Acorda Therapeutics	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	0	-0.94	0	46554940	0	0.51	2.27	1.76
ACRS	Aclaris Therapts			0	-2.03	0	26735930	0	-0.13	0	3.83
ACRX	Acelrx Pharmaceutica	Consumer Durables	Major Pharmaceuticals	0	-1.1	0	45378380	0	0	5.25	0
ACSF	American Capital Sen			0	3.11	8.99	0	1.16	0	0	0
ACST	Acasti Pharma			0	-0.77	0	14714250	0	0	0	1.2158
ACT	Advisorshares Vice ETF			0	0	0	0	0	0	0	0
ACTA	Actua Corp			6.52	2.37	0	30961810	0	-7.36	4.02	1.51
ACTG	Acacia Res-Acacia	Miscellaneous	Multi-Sector Companies	0	-0.59	0	50597700	0	10.63	1.92	0.88
